Operadora,Código do Cliente,Razão Social do Cliente,Nome do Associado,Código do Associado,CPF do Titular,Tipo de Participante,Sexo,Plano - Descrição,Data de Nascimento,Data de Admissão do Empregado,Data de Adesão ao Plano,Data de Cancelamento,Estado Civil do Participante,Município do Participante,UF,Contagem Associado Ativo,Operadora - Numero de Registro,Cliente - Grupo (Link),Cliente - Município,Cliente - UF,Associado - Nome da Mãe,Matricula do Associado,Associado - Bairro,Plano - Código,Plano - Acomodação,CPF Titular,Numero Carteirinha Titular,Nome do Titular,Grupo Familiar,Local Titular
"Valencia, Lambert and Fox",2036,Hawkins-Erickson,Rachel Lucero,20021,105-15-7173,Inativo,F,include,2023-01-31,2005-08-07,2013-09-17,2018-02-17,Viúvo(a),New Christine,IL,10,64415,http://www.jones.com/,North Richard,CT,Carol James,28055873,anyone,62741,Enfermaria,105-15-7173,866435,Daniel Pratt,Família A,Johnmouth
Mendoza-Krause,3989,Larson-Austin,Erik Hanson,10225,105-78-5327,Inativo,F,star,2005-08-27,2003-10-27,2003-05-11,2016-02-05,Solteiro(a),Harmonview,OR,1,64326,http://www.anderson.biz/,Nolanstad,NH,Joseph Allen,32551088,their,92963,Enfermaria,105-78-5327,47943957,Craig Patel,Família B,North Maryfort
"Lopez, Gonzalez and Garcia",9690,"Key, Lopez and Walsh",Bobby Martin,71990,052-21-9859,Ativo,M,specific,1973-06-26,2019-11-12,2006-08-31,2019-01-30,Casado(a),Joneston,KY,1,63329,http://www.tran-wagner.com/,North Jose,AZ,Nicholas Castillo,5382,discuss,47281,Apartamento,052-21-9859,85424001,Timothy Taylor,Família C,Johnsonfort
"Thompson, Smith and Nelson",4616,Bradshaw-Nelson,Jenna Bryant,64241,276-44-6491,Inativo,M,particularly,1998-08-17,2001-06-27,2002-02-20,2003-05-13,Viúvo(a),South Candicestad,SC,5,78602,https://hayes.com/,North Michaeltown,WV,Diana Jennings,67631524,sea,99686,Apartamento,276-44-6491,81209940,Amanda Burgess,Família C,New Jenniferport
"Morrison, Paul and Torres",3821,Gallagher and Sons,Crystal Turner,79045,564-41-4889,Ativo,M,student,1973-06-08,2018-05-07,2002-08-17,2009-05-27,Casado(a),West Angel,OH,8,19595,https://bishop-mclaughlin.info/,Lake Stacy,AR,John Farrell,33964137,bed,67575,Enfermaria,564-41-4889,57888133,Justin Howard,Família B,West David
Allen-Owens,5113,"Martin, Jones and Martinez",Michael Roberts,95719,500-48-7616,Inativo,M,measure,2010-07-03,2018-06-22,2014-03-28,2021-11-06,Viúvo(a),New Earlborough,CA,5,78161,http://www.coleman.com/,Davidview,NE,Stacy Carr,67416319,camera,14195,Enfermaria,500-48-7616,98410154,Kristy Jensen,Família B,Simmonsfurt
"Powers, Baker and Russell",1043,"Russell, Aguilar and Bell",Miranda Rivera,93696,758-84-4680,Inativo,F,old,2003-06-29,2013-09-10,2012-08-07,2001-08-26,Casado(a),West Scott,WV,3,26045,http://www.hutchinson-andrews.com/,Nicholasstad,AZ,Elizabeth Davis,15310363,positive,5969,Enfermaria,758-84-4680,89841487,Kimberly Booker,Família B,Seanmouth
Cherry PLC,3900,"Young, Hutchinson and Pugh",Omar Scott,83864,652-40-2073,Inativo,F,few,1945-01-07,2013-12-20,2000-06-23,2002-09-17,Solteiro(a),Mcgeeburgh,KS,10,16399,https://www.gonzalez-nelson.com/,Elizabethfurt,HI,Lisa English,49120130,process,95078,Enfermaria,652-40-2073,81735711,John Sanchez,Família C,West Joseph
Bishop PLC,1989,"Martin, Barnes and Peterson",Julie Rivera,68671,714-35-5457,Inativo,F,part,2005-05-20,2010-10-21,2021-06-22,2000-08-06,Solteiro(a),North Natasha,WA,2,31213,https://www.wagner-jones.info/,Sanchezfurt,MT,Melissa Young,96151032,yard,96819,Enfermaria,714-35-5457,47219735,Sandra Kelley,Família B,West Robin
Hoffman PLC,4490,"Carter, Cortez and Howard",Robert Dougherty,57602,145-41-1518,Inativo,F,western,1914-05-05,2011-07-08,2021-12-30,2006-02-07,Casado(a),Vincenttown,AZ,1,1357,https://moon.com/,East Jennifershire,UT,Karen Howard,36992270,operation,784,Apartamento,145-41-1518,98453080,Larry Brock,Família B,New Christina
"Woods, Andrade and Morris",5556,Simpson Ltd,Vicki Sharp,20268,334-75-4651,Inativo,F,officer,1909-08-15,2003-05-19,2013-11-04,2000-03-13,Casado(a),Jacksonmouth,WA,8,95956,http://www.perry-wise.biz/,Changport,KS,Wayne Rodgers,35252532,sell,9651,Enfermaria,334-75-4651,62786731,Kayla Perkins,Família C,Dawnland
Carter-Irwin,5716,Guzman-Kim,Kevin Edwards,65763,217-23-8705,Inativo,F,resource,1936-08-12,2012-04-27,2002-09-27,2014-03-20,Solteiro(a),Terryburgh,DC,8,53761,https://www.shaw.net/,Jasonstad,GA,Tiffany Ferguson,61580007,thing,9266,Enfermaria,217-23-8705,27434242,Ashley Acevedo,Família B,Jessetown
"Richard, Palmer and Kirk",9586,"Harrison, Matthews and Wright",Mary Rodriguez,81723,067-74-1969,Inativo,M,wear,1925-06-14,2022-03-28,2000-05-29,2001-04-01,Viúvo(a),North Tracyland,CT,5,59559,http://www.castillo.com/,Rileyland,NC,Alicia Garcia,3207843,large,99306,Apartamento,067-74-1969,34451548,Kayla Smith,Família B,Solomonbury
Jacobson-Wong,9669,"Osborne, Perez and Fernandez",Chelsea Cochran,80280,385-91-2943,Ativo,M,relate,1931-06-11,2002-03-19,2004-05-07,2003-11-11,Viúvo(a),South Toddton,DE,8,86954,https://boyd.org/,New Melissa,AS,Nancy Wilson,3032261,could,99037,Apartamento,385-91-2943,17269617,Janet Hoover,Família A,West Sheilaside
Werner-Mata,4333,Malone and Sons,Julia Rice,67141,714-78-9375,Inativo,M,court,2020-06-07,2021-05-12,2009-05-26,2009-09-21,Casado(a),Boothburgh,VT,4,8357,http://www.thompson.com/,East Stephenmouth,IA,Hannah Banks,7553613,else,4965,Apartamento,714-78-9375,96233322,Michael Anderson,Família A,South Lauren
Peterson-Weiss,8170,Ross Ltd,Sabrina Olson,47918,128-99-8514,Inativo,F,boy,1908-02-05,2018-09-24,2000-04-14,2006-01-25,Viúvo(a),Bradleytown,MO,4,3484,http://kerr.com/,Harrisfurt,AL,Garrett Hughes,6300587,debate,79396,Apartamento,128-99-8514,53467449,Angela Cox,Família A,Fosterside
"Stevens, Wheeler and Holland",7315,"Brown, Owens and Duncan",Jasmine Garcia,37682,706-48-9943,Inativo,M,in,1941-11-14,2016-11-12,2019-09-07,2015-12-12,Solteiro(a),East Alexfurt,MT,1,59025,http://becker.com/,Richardville,HI,Christopher Butler,17478334,admit,12933,Enfermaria,706-48-9943,5772930,Melissa Knight,Família A,South Jamesport
Hudson-Thomas,5514,Adams-Butler,Steven Holmes,41690,242-53-7548,Inativo,M,fast,2010-05-04,2006-07-26,2013-10-09,2011-03-29,Casado(a),North Heatherbury,MI,3,46759,https://hamilton-allen.com/,North Kristinafort,FL,Clayton Turner,69444850,probably,11103,Enfermaria,242-53-7548,51294038,Bryan Rivas,Família A,Port Carol
Jones-Lewis,5421,Brown PLC,Kimberly Day,67791,806-87-0739,Inativo,M,turn,1959-05-30,2011-01-24,2012-07-23,2023-08-17,Casado(a),Port Taylor,OR,4,28179,http://pineda.com/,West Austin,MN,Derek Garcia,17730149,range,55977,Enfermaria,806-87-0739,78732714,Amy Bailey,Família A,South Brooke
"Alexander, Lopez and Flores",9792,Mercado-Martinez,Ryan Jenkins,69983,870-84-4443,Inativo,M,Mr,2007-09-09,2007-02-25,2016-12-05,2017-10-19,Viúvo(a),South Thomas,OR,7,52144,http://www.madden.com/,South Steve,MO,Kristina Ramos,55192002,save,75380,Apartamento,870-84-4443,8290910,Diane Cook,Família B,Ambertown
Smith PLC,9474,Sandoval and Sons,Matthew Black II,57460,731-75-9956,Ativo,F,bill,1965-07-14,2005-06-19,2017-03-08,2005-03-20,Solteiro(a),East Jasonhaven,MI,8,41328,http://www.simmons-delacruz.com/,New Kevin,AR,Thomas Lucas,33306885,his,30715,Enfermaria,731-75-9956,58325120,James Watson,Família B,West Isabel
Cook Group,8736,Simpson-Owens,Samantha Oconnor,14435,853-03-9753,Ativo,F,challenge,1965-04-30,2021-02-27,2000-08-08,2006-10-28,Viúvo(a),Davisburgh,ME,6,13275,http://www.welch.com/,New Derekborough,ME,Matthew Clayton,82678604,too,90264,Apartamento,853-03-9753,90153865,Colleen Larson,Família A,Lake Katie
"Stanton, Adams and Gonzalez",3168,Chan PLC,Chris Smith,84418,053-18-9537,Inativo,F,decision,1919-11-24,2005-08-17,2021-03-20,2014-01-04,Viúvo(a),North Katherinemouth,MO,3,5012,http://www.davis.com/,Jeffreymouth,WY,Eric Booth,17676691,people,54102,Apartamento,053-18-9537,6716679,Michael Butler,Família A,North Danielleside
Torres Ltd,7228,Cook-Fields,Diamond Wolf,72429,719-86-5872,Ativo,M,daughter,2014-12-29,2023-04-19,2000-05-11,2002-11-24,Solteiro(a),West Karenfurt,AK,4,14995,https://www.torres.com/,South Catherine,VI,Brittany Ortiz,3813702,month,75532,Apartamento,719-86-5872,32451046,Kara Haynes,Família C,Diazborough
Dodson-Lynch,4640,Shaffer and Sons,Joseph Powers,33533,178-17-5661,Inativo,M,account,1912-09-07,2016-04-08,2019-08-23,2018-11-04,Viúvo(a),Deckerfurt,WA,8,88615,http://davila.net/,Amandaport,KY,Garrett Nichols,4138145,anyone,81405,Apartamento,178-17-5661,44264170,James Rangel,Família B,Bernardport
Green-Fletcher,9695,Finley-Smith,Marcus King,20125,709-22-8737,Ativo,F,few,2007-09-02,2005-03-19,2009-06-12,2021-09-26,Casado(a),South Robert,MH,5,50161,http://wells-neal.info/,Port Matthewberg,ND,Christopher Cook,88105913,paper,34141,Enfermaria,709-22-8737,43743190,Laura Santana,Família B,Port Michael
Perkins and Sons,6615,"Davis, Chaney and Combs",Walter Gonzalez,50078,039-99-0795,Inativo,M,sure,1941-06-09,2009-07-25,2000-10-08,2023-06-23,Casado(a),Georgeland,LA,1,32277,https://bright-armstrong.biz/,Monicamouth,PA,Theresa Franklin,78336404,field,67675,Apartamento,039-99-0795,64198739,Brittany Martin,Família A,Port Kristinfort
Santos-Berg,3221,Shelton PLC,Morgan Osborn,27983,833-37-3276,Ativo,M,join,1968-10-24,2009-03-17,2023-03-20,2020-02-22,Solteiro(a),Smithmouth,AZ,9,55077,https://www.conley.com/,Port Christina,LA,Patrick Stokes,87376269,first,99742,Enfermaria,833-37-3276,54293674,Stacey Hughes,Família B,South Chelsea
Martinez-Stevens,7556,Thompson-Hall,Cindy Hancock,85393,414-97-9170,Inativo,F,everyone,1909-03-01,2015-07-21,2022-02-15,2003-12-30,Solteiro(a),Lake Antonio,RI,5,21211,https://beck.info/,Victorhaven,NV,Natalie Mccoy,84894161,specific,18424,Enfermaria,414-97-9170,33776346,Erica Parsons,Família A,Clarencefurt
"Wilson, Trujillo and Arnold",7494,Silva PLC,Scott Hughes,72938,499-30-7174,Inativo,M,imagine,1951-03-27,2017-03-14,2014-06-28,2007-04-06,Viúvo(a),New Michaelastad,WV,10,85510,https://www.jensen.com/,West Christopherfort,AZ,Melissa Rodriguez,21815255,put,58422,Apartamento,499-30-7174,28103664,Sarah Young,Família C,West Antonio
"Fischer, Alexander and Garrett",6669,Williams-Chaney,Natalie Rivera,77268,491-37-3168,Ativo,F,type,2000-09-29,2018-01-30,2008-05-28,2008-01-09,Viúvo(a),Elijahville,GA,6,83215,https://www.roberts.com/,Port Jessicaville,WA,Joseph Sanchez,93462654,threat,95971,Apartamento,491-37-3168,79576246,Linda Fitzgerald,Família A,South Anneton
Baker LLC,1183,Jordan-Aguilar,Scott Jordan,84512,811-78-8409,Ativo,F,their,1915-11-09,2001-07-04,2004-10-25,2006-01-25,Casado(a),Marcmouth,MO,4,884,https://www.crawford.com/,Denisefurt,KY,Rachel Lyons,71830823,everyone,4539,Apartamento,811-78-8409,54108648,Ryan Martinez,Família B,Port Nichole
"Perry, Cox and Atkinson",1190,Pena-Livingston,Steven Keith,92329,495-42-4963,Ativo,F,offer,1929-11-17,2016-11-19,2023-01-13,2015-09-01,Casado(a),Lake Carl,RI,3,61424,http://www.bradley.com/,East Lisa,TN,Kayla Holmes,76826057,since,72353,Apartamento,495-42-4963,84409437,Bradley Arnold,Família A,New Juan
Caldwell-Bryant,5255,"Martinez, Stafford and Sosa",Kristin Johnson,54872,460-32-0533,Inativo,F,provide,1934-09-12,2002-06-25,2002-12-26,2012-03-23,Solteiro(a),North Daniel,HI,5,63004,http://spears-vega.info/,Harrisville,NM,Matthew Lawrence,31458566,vote,13830,Enfermaria,460-32-0533,65603007,Jesse Higgins,Família C,Dawnside
"Santiago, Stephens and Banks",2768,Malone Ltd,Ashley Jacobs,63459,896-54-7528,Inativo,F,moment,2013-02-04,2008-06-01,2013-03-31,2015-08-21,Solteiro(a),Monteschester,AS,3,54372,https://clay.info/,West Kevinfort,TN,Alexander Anderson,43541493,cell,71100,Enfermaria,896-54-7528,97865869,Jasmine Adams,Família A,Bryantown
Williams Group,6231,"Marshall, Walker and Willis",Courtney Leon,26395,490-33-5878,Inativo,F,need,1946-03-02,2015-06-18,2020-12-08,2003-12-29,Casado(a),South Carlosshire,CT,9,23421,http://www.collins-knight.com/,New Randyberg,PA,Eric Werner,439233,force,35081,Enfermaria,490-33-5878,5105534,Jeffrey Garcia,Família C,West Matthewland
