MOTIVO CHAMADO,NOME,CPF,SEXO,DATA NASCIMENTO,DATA ADMISSAO,NOME DA MAE,ESTADO CIVIL,PARENTESCO,ESTUDANTE,MATRICULA EMPRESA,CNPJ CLIENTE,CARTAO SUS,EMAIL,CEP,ENDERECO,NUMERO,COMPLEMENTO,BAIRRO,CIDADE,ESTADO,SALARIO,RG,CARGO,TELEFONE,CELULAR,DATA INICIO VIGENCIA,CODIGO PLANO,FIM VIGENCIA,PRAZO ESTAGIO/J APRENDIZ (MESES),C.CUSTO,DEPARTAMENTO,SETOR,TIPO EXTENSAO,INICIO PLANO EXTENSAO,FIM PLANO EXTENSAO,INICIO EXPEDIENTE,FIM EXPEDIENTE,PCD,CPF TITULAR,PLANO EXTENSAO,DESCRICAO,DATA ENTRELACE,CNPJ A TRANSFERIR,DEPENDENTE TITULAR,COD. OPERADORA
Odontologia,Karen Galvan,096-03-8926,M,1920-05-11,2015-01-20,Lisa Wright,Viúvo(a),Cônjuge,Sim,147981,8741183959694329,9876543210987654,chavezshari@example.net,43142,6202 Jordan Pines Apt. 014,34274,Suite 686,Copacabana,East Ashleyfurt,CO,2020.6556379717883,5827412862,Web designer,+1-354-492-1722x70321,(577)922-9886,2003-06-09,8,2089-11-20,9,CCusto2,Recursos Humanos,Setor B,Tipo2,2017-08-17,2081-01-09,06:54:34,08:34:08,Sim,881-54-0934,Plano C,Gun more suddenly.,2006-09-21,5142456829228568,Sim,Operadora2
Exame Laboratorial,Jennifer Payne,108-74-0890,F,2015-04-22,2002-11-07,Diana Knapp,Viúvo(a),Pai,Não,4436687,5171481088144456,9876543210987654,jennifermiles@example.com,87537,42010 David Heights,13252,Suite 459,Savassi,Colemanfort,AL,2989.07099429929,7747524381,Trade mark attorney,654-814-8901x00230,404.398.8341x92547,2000-03-05,9,2092-11-15,2,CCusto2,Recursos Humanos,Setor A,Tipo1,2019-10-12,2093-01-23,00:34:45,08:59:57,Sim,883-25-1389,Plano A,Fast true thus real citizen task protect.,2008-01-23,1510676853717182,Não,Operadora2
Consulta Médica,Jason Wolf,694-60-9004,F,1921-11-24,2011-01-19,Eddie Webb,Casado(a),Mãe,Não,3257448,5373424450992904,1234567890123456,kevinshaffer@example.org,12044,77321 Miller Field Apt. 724,7656,Suite 812,Moinhos de Vento,Johnport,WI,2573.991993805694,2411358625,Patent attorney,001-615-409-7467x3154,+1-801-492-5361x07175,2007-08-31,7,2063-05-03,5,CCusto2,Vendas,Setor B,Tipo3,2019-09-14,2047-01-25,20:12:37,07:41:57,Não,244-22-4495,Plano A,Draw exist with scientist spend.,2014-05-22,9595237180961656,Sim,Operadora1
Exame Laboratorial,Thomas Cross,110-76-3635,F,1916-06-26,2012-03-16,Ashley Nelson,Solteiro(a),Cônjuge,Sim,6823196,5303662842241850,9876543210987654,jonathansmith@example.net,38426,22821 Erik Lodge Apt. 454,50712,Suite 536,Savassi,Jacobchester,MD,3279.6961541412993,266437619,Interpreter,+1-609-799-3378,+1-978-563-8821x67362,2001-10-31,9,2065-04-25,5,CCusto3,Vendas,Setor C,Tipo1,2021-12-08,2038-10-13,11:09:20,23:07:22,Não,637-96-1492,Plano C,Establish parent hold you choice yet eight.,2000-02-15,2988442407744451,Sim,Operadora1
Odontologia,Jodi Lam,153-68-5043,F,1995-05-23,2013-11-17,Anthony Garcia,Solteiro(a),Filho(a),Não,3904256,8524519012297988,1234567890123456,bishopdavid@example.net,61630,2913 Alexandria Forest Suite 432,2504,Suite 543,Centro,Tannerstad,RI,1683.168157073394,2625448689,Video editor,001-363-250-6564x899,001-732-489-5095x272,2015-08-25,1,2026-02-08,1,CCusto3,Vendas,Setor C,Tipo3,2005-09-03,2035-11-24,16:52:27,23:28:34,Não,714-22-5983,Plano A,Its front forget condition.,2020-06-25,6686573824373192,Não,Operadora1
Exame Laboratorial,Jon Smith,731-35-3157,M,1977-08-19,2001-09-17,Adam Larson,Solteiro(a),Pai,Sim,3174189,4750007175785024,1234567890123456,james81@example.org,57805,50450 Joshua Turnpike Suite 659,23067,Apt. 112,Copacabana,Poolemouth,FM,3394.6699346208293,1627324094,Immunologist,(904)317-3065,001-532-378-6212x2477,2003-07-20,2,2043-03-20,12,CCusto1,Vendas,Setor B,Tipo2,2010-10-31,2027-07-01,12:59:52,20:31:53,Sim,213-35-3036,Plano C,Impact current modern total opportunity.,2019-01-12,7682486276222976,Sim,Operadora2
Exame Laboratorial,Sandra Perez,592-44-4963,F,2020-05-03,2012-06-29,Michele Martinez,Solteiro(a),Pai,Não,3777245,6722172142597208,1234567890123456,jeffreymoore@example.net,16686,06141 Williams Garden Apt. 372,5224,Suite 542,Savassi,North Ericachester,SD,3445.188449485834,2774444190,Tour manager,328.416.0332x85326,296.317.5944x31076,2002-05-11,1,2055-12-10,6,CCusto3,Vendas,Setor A,Tipo2,2017-08-10,2085-11-04,19:09:31,04:09:32,Não,808-70-0928,Plano C,Entire career section interview.,2013-09-05,7423140291530460,Não,Operadora1
Consulta Médica,Dorothy Fernandez,202-37-9426,F,2013-01-08,2022-10-23,Todd Rogers,Solteiro(a),Mãe,Sim,7565329,6059784189984513,9876543210987654,douglasgaines@example.com,06538,301 Wyatt Union,4191,Apt. 965,Copacabana,Kelseyport,AS,2417.4993397645826,1732091036,Translator,822-986-1822,(977)488-6824x260,2012-03-11,3,2081-11-06,8,CCusto2,Recursos Humanos,Setor A,Tipo2,2009-04-16,2069-04-09,23:17:14,00:36:10,Não,211-63-3827,Plano A,Tonight improve message technology.,2015-11-11,8095348498299103,Sim,Operadora2
Consulta Médica,Michael Estrada,456-35-4722,F,1934-01-30,2004-06-12,Jamie Morris,Solteiro(a),Pai,Sim,805464,3012526344148115,9876543210987654,james12@example.com,33779,4512 Atkinson Glens Apt. 928,272,Apt. 054,Moinhos de Vento,West John,WV,4278.195120613552,2402985330,Metallurgist,(398)452-7967x150,(742)853-5074,2013-07-24,9,2048-08-15,6,CCusto2,Recursos Humanos,Setor B,Tipo2,2016-11-14,2060-03-23,16:41:11,06:44:48,Não,087-48-0086,Plano A,Radio land north put cup worry ask.,2018-04-25,5196405059296138,Não,Operadora1
Consulta Médica,Laura Carpenter,223-74-5804,F,1979-09-10,2017-12-11,Charles Patterson,Casado(a),Filho(a),Não,5885954,5978112315275218,9876543210987654,pdunn@example.com,44727,7390 Blake Parkways,095,Apt. 906,Moinhos de Vento,East Brandon,OH,4051.353976293297,1759042452,Tax inspector,5332058773,+1-549-675-2783,2016-08-07,2,2082-12-09,10,CCusto1,Financeiro,Setor A,Tipo3,2009-02-24,2051-09-17,10:00:59,17:38:39,Não,044-95-0818,Plano B,Professional team capital trip air friend.,2016-05-16,6152650207587340,Sim,Operadora2
Exame Laboratorial,Curtis Castaneda,736-86-4626,F,1982-05-09,2008-06-18,Michael Cooke,Casado(a),Filho(a),Sim,1258026,7598296576351436,1234567890123456,brendahouse@example.com,78865,1675 Stephanie Stream Apt. 961,3613,Suite 771,Moinhos de Vento,North Timothytown,DE,1016.2950897091351,3667472616,Industrial/product designer,205-231-5693,629-301-2433x713,2021-08-03,5,2028-11-10,10,CCusto3,Recursos Humanos,Setor B,Tipo1,2019-08-06,2027-07-06,23:06:53,23:28:00,Sim,353-58-8063,Plano A,Option effect guess.,2009-05-23,7618384027269907,Não,Operadora1
Odontologia,Charles Miller,148-89-4054,F,1940-12-30,2006-05-09,Charles Henry,Viúvo(a),Mãe,Sim,1322912,2460842317235392,9876543210987654,scotthall@example.net,47864,886 Phelps Road,24009,Apt. 819,Moinhos de Vento,Jamesport,NV,4310.662149362126,954790351,Pathologist,3816648293,+1-687-215-7668,2023-04-16,10,2090-08-21,11,CCusto1,Financeiro,Setor A,Tipo3,2012-06-05,2044-08-03,02:48:34,22:04:24,Sim,162-93-5931,Plano B,Require draw I opportunity management build.,2005-07-22,3848235945600844,Sim,Operadora2
Odontologia,Eric Suarez,178-31-5106,M,2016-09-10,2016-05-10,Tony Williams,Viúvo(a),Cônjuge,Sim,8942195,2491219192727753,1234567890123456,matthewunderwood@example.org,45972,1084 Spencer Walks Apt. 306,305,Suite 457,Savassi,South Brentburgh,WV,1377.2175691867078,8683895209,"Development worker, community",+1-448-580-8068,+1-751-467-8829,2021-02-18,7,2067-10-01,5,CCusto3,Financeiro,Setor C,Tipo2,2015-07-03,2050-06-13,17:34:46,18:18:53,Não,305-40-3826,Plano C,Share enter herself factor service manager understand always.,2020-03-13,3128930836781599,Não,Operadora1
Consulta Médica,Shawn Walker,082-93-6329,F,1953-06-19,2006-02-05,Mary Horn,Viúvo(a),Pai,Não,7446911,3001855375937274,9876543210987654,wendybarton@example.org,82720,629 Samantha Canyon Apt. 659,6317,Apt. 602,Copacabana,Hudsonstad,OK,3143.7849006447555,2591723840,Emergency planning/management officer,001-595-592-2854x17506,867-980-5881x271,2009-09-16,10,2089-08-29,8,CCusto2,Recursos Humanos,Setor A,Tipo1,2010-07-04,2051-10-15,09:47:59,21:38:42,Não,832-35-8859,Plano C,Remain interest adult power guess wide force.,2018-01-08,2210150131020366,Sim,Operadora3
Exame Laboratorial,Justin Gibson,503-93-4288,F,1980-04-11,2000-01-09,Kayla Rhodes,Solteiro(a),Cônjuge,Sim,8025905,4207280734286411,9876543210987654,gabrielscott@example.com,17422,55853 Prince Crossroad,95121,Apt. 519,Moinhos de Vento,West Angelaton,DC,3671.6910898835754,3945074811,"Scientist, forensic",(215)605-5103,+1-510-779-3679x65585,2011-11-09,4,2041-04-11,1,CCusto2,Financeiro,Setor A,Tipo1,2014-03-03,2096-12-24,00:16:12,14:52:31,Não,141-58-1608,Plano C,Serve herself call probably.,2015-01-24,4695359929411158,Sim,Operadora3
Consulta Médica,Melanie Harris,132-96-6300,M,1949-01-31,2009-06-06,Judy Harmon,Viúvo(a),Filho(a),Não,6115960,5986776080289526,1234567890123456,ytaylor@example.net,72445,484 David View,816,Apt. 151,Centro,Sarahview,NV,1123.9641591339118,9603026573,"Engineer, materials",932.391.1298x36169,725.708.8384,2013-02-09,7,2082-06-22,1,CCusto3,Recursos Humanos,Setor A,Tipo2,2003-03-12,2053-10-09,13:39:29,15:18:18,Sim,365-89-9783,Plano A,Adult position reach probably.,2023-09-02,9968607563241040,Sim,Operadora1
Consulta Médica,Sabrina Velez,270-53-7411,F,1936-03-31,2017-01-03,April Freeman,Viúvo(a),Cônjuge,Não,6001721,4700723959049527,1234567890123456,silvaannette@example.net,30293,17333 Diaz Street,93844,Apt. 751,Moinhos de Vento,Port Frances,MP,4919.273333885483,9496427209,Newspaper journalist,7443246320,(920)556-4508x909,2009-02-21,6,2097-02-21,12,CCusto3,Financeiro,Setor C,Tipo2,2004-04-22,2088-03-26,18:03:33,03:37:27,Sim,236-67-8623,Plano B,Shoulder race fear occur back candidate contain.,2010-10-22,6109885942927552,Sim,Operadora1
Consulta Médica,Tasha Torres,778-92-2165,F,1978-04-09,2020-01-22,Linda Wilson,Solteiro(a),Pai,Sim,8963738,7717471060780327,9876543210987654,sydneymcdonald@example.com,44474,86293 Amy Burg Suite 718,810,Apt. 772,Moinhos de Vento,East Joseph,TN,3968.8091430963295,4367608215,Consulting civil engineer,001-738-308-8462x4566,969-436-7806x37538,2011-08-27,4,2060-08-28,5,CCusto1,Vendas,Setor B,Tipo3,2002-04-11,2031-04-23,09:23:11,11:00:37,Não,788-50-2494,Plano A,Plan suggest worry fear stage national.,2023-04-09,4515578243985649,Sim,Operadora3
Odontologia,Carla Goodwin,209-96-7930,M,1980-10-08,2020-12-14,Bradley Ferguson,Casado(a),Pai,Não,4367261,2306762734623833,9876543210987654,ajones@example.com,47609,906 Holmes Place Suite 110,3739,Suite 273,Centro,Lisaberg,ID,2004.351535736304,8128606721,Research scientist (medical),379-618-9996x4057,645.472.9134x964,2006-02-05,9,2085-12-22,6,CCusto3,Vendas,Setor C,Tipo1,2017-05-02,2050-08-23,07:51:15,11:50:13,Sim,162-84-2831,Plano B,Foot race along land concern line into.,2020-08-13,1561529787608744,Não,Operadora2
Consulta Médica,Linda Smith,210-11-6192,M,1914-07-30,2016-09-26,Christine Huber,Casado(a),Mãe,Sim,5919813,7483885489358745,1234567890123456,milleramanda@example.net,05949,8456 Monroe Fork,27961,Apt. 236,Centro,Fullerburgh,MH,1524.9402814841067,3002887619,Financial adviser,001-789-532-3777x6051,(570)916-7700x66787,2003-05-07,6,2070-07-13,4,CCusto3,Financeiro,Setor C,Tipo1,2018-01-01,2090-09-13,10:10:42,22:58:10,Sim,597-95-0130,Plano A,Seek chair system paper.,2008-05-14,281805031227871,Não,Operadora1
Odontologia,Laura Vargas,719-55-3912,M,1936-08-10,2007-07-19,Lori Sullivan,Solteiro(a),Filho(a),Sim,1298409,663946276480979,9876543210987654,tiffany35@example.org,85585,26419 Thomas Pass,148,Apt. 024,Moinhos de Vento,Ginastad,WA,1087.7231291941193,8340654367,"Therapist, drama",236.779.6425,+1-516-830-7280x9024,2014-11-19,5,2089-04-15,1,CCusto3,Vendas,Setor A,Tipo3,2022-04-30,2067-11-18,07:44:12,09:50:37,Sim,334-78-1679,Plano A,Computer late watch position choose eat listen.,2009-08-15,8471085175703705,Sim,Operadora2
Exame Laboratorial,Jeanette Phillips,363-79-2544,M,1961-10-10,2010-10-04,Kathy Anderson,Viúvo(a),Pai,Sim,6514824,2378659130315592,9876543210987654,fvargas@example.net,40654,99984 Samantha Road Apt. 531,16684,Suite 510,Moinhos de Vento,West Mason,NE,4122.466188175331,7494263081,Actor,270-376-3018,+1-520-204-2485x179,2012-07-20,10,2080-06-28,10,CCusto3,Vendas,Setor C,Tipo1,2009-10-23,2060-06-07,15:36:17,16:57:54,Não,528-93-4323,Plano C,Catch purpose market late government.,2013-04-30,254646285682294,Não,Operadora3
Exame Laboratorial,Heather Mason,547-20-5263,F,1944-03-24,2003-12-02,Ryan Beck,Solteiro(a),Pai,Não,5262800,3198396137852109,1234567890123456,calvinrobertson@example.net,11613,956 Khan Mountain,656,Apt. 536,Moinhos de Vento,North Michelle,PR,3551.009516527525,9153412993,Research scientist (life sciences),560-821-4380,836-990-7120x021,2019-05-20,9,2066-05-29,4,CCusto3,Recursos Humanos,Setor A,Tipo3,2012-02-16,2035-09-18,07:54:02,21:10:23,Não,385-22-7639,Plano B,Seek wait land through.,2017-10-18,3152660841482357,Não,Operadora1
Exame Laboratorial,Jeffrey Kennedy,570-43-4118,F,1973-08-25,2017-12-13,Suzanne Martinez,Solteiro(a),Pai,Sim,2581835,4191396905721128,1234567890123456,julie35@example.com,79990,2507 Flores Turnpike Suite 247,495,Suite 861,Centro,East Jennifer,MA,4205.568969544251,8932147307,Higher education careers adviser,(644)867-7950x7798,3085506526,2001-11-25,5,2089-04-17,1,CCusto3,Recursos Humanos,Setor A,Tipo2,2014-06-07,2077-08-26,09:48:55,00:45:42,Sim,897-39-4927,Plano B,General only face ok.,2014-10-15,4865761509275026,Não,Operadora3
Odontologia,Rachel Wallace,610-36-9377,M,1963-07-25,2003-04-25,Toni Curtis,Viúvo(a),Pai,Sim,7418098,6757992271070066,1234567890123456,joshua49@example.net,14802,197 Megan Ford Apt. 113,7338,Suite 744,Savassi,New Peter,IL,2765.9522228459346,6497043338,"Surveyor, rural practice",381.249.2342,3058657867,2003-04-22,10,2077-08-10,4,CCusto2,Financeiro,Setor B,Tipo2,2016-06-19,2055-12-21,21:03:22,02:37:33,Sim,576-76-5966,Plano B,Mouth very discussion sell western sure.,2019-10-24,4644888058900453,Não,Operadora3
Odontologia,Erik Brady,618-07-7314,M,1996-05-14,2009-12-19,Anthony Williams,Viúvo(a),Pai,Sim,9684834,5159644420295281,1234567890123456,russellcastro@example.net,28946,72328 Barbara Causeway Suite 063,3702,Apt. 085,Centro,North Alex,VT,2850.9215229299552,472285242,"Nurse, learning disability",3154168995,001-927-401-2935x56911,2020-12-20,6,2040-05-11,11,CCusto2,Recursos Humanos,Setor C,Tipo1,2015-05-16,2037-09-22,22:44:17,09:25:01,Não,834-48-3734,Plano A,Employee tax dream knowledge billion role main drug.,2012-09-22,4149460919051995,Não,Operadora3
Odontologia,Jessica Moyer,090-60-6171,M,2010-04-11,2010-06-06,Elizabeth Soto,Casado(a),Cônjuge,Sim,2741542,8003725224893242,1234567890123456,michaelpace@example.net,79055,5699 Dunn Trail,7158,Suite 350,Centro,East Jeffreyville,NV,1018.8068931733798,2669234320,"Teacher, adult education",001-935-907-6237,001-217-282-1850,2010-02-18,9,2042-09-18,3,CCusto3,Financeiro,Setor C,Tipo3,2006-11-08,2053-09-17,01:49:26,14:23:35,Não,522-77-8965,Plano B,School sit work dark.,2011-06-26,8755222001590734,Não,Operadora1
Odontologia,Julie Kelley,493-40-5740,F,1955-08-10,2021-03-20,Summer Ramsey,Casado(a),Pai,Não,6344972,4933449280103023,1234567890123456,owilliams@example.com,17763,9989 Mendez Highway Suite 179,418,Apt. 371,Savassi,New Nicholasbury,TX,4442.781909546152,2229331040,"Nurse, children's",001-278-419-4959x465,001-348-921-2315x02238,2011-12-22,7,2072-03-30,6,CCusto2,Recursos Humanos,Setor C,Tipo1,2007-02-16,2077-09-18,04:08:19,03:51:18,Sim,026-19-7137,Plano A,Consider course all however again imagine.,2007-04-27,5675750938791490,Sim,Operadora3
Exame Laboratorial,Joyce Collins,779-91-7842,F,1947-03-09,2019-02-19,Samantha Johnson,Viúvo(a),Pai,Não,3715299,2089744967936490,9876543210987654,matthewmorales@example.com,14277,1158 Booth Bridge Apt. 196,608,Apt. 109,Savassi,South David,DC,2831.9890095114633,4252707735,Retail buyer,2336264515,001-310-909-8282x555,2008-06-26,9,2095-10-01,11,CCusto2,Vendas,Setor C,Tipo2,2001-04-21,2060-05-16,11:06:44,10:52:57,Sim,508-70-8929,Plano C,Pass measure both some prepare.,2006-02-03,1299565660914343,Não,Operadora1
Consulta Médica,Thomas Brown,825-40-6527,M,1910-06-25,2016-03-03,Heather Gonzales,Solteiro(a),Mãe,Sim,9116365,6397007567538554,9876543210987654,michael19@example.com,79278,3222 Lopez Forks,670,Suite 695,Centro,South Marthaville,NJ,4745.553559557318,887636230,Water engineer,357.925.5653x521,+1-634-233-9504x42795,2021-12-25,1,2055-11-22,5,CCusto2,Financeiro,Setor A,Tipo2,2019-02-02,2094-11-18,15:51:27,20:38:37,Não,824-44-1545,Plano C,Speech war send several arrive bad visit.,2003-06-04,1373871750290179,Sim,Operadora1
Consulta Médica,Eric Saunders,781-12-9220,F,1986-01-02,2005-05-20,Stephanie Lucas,Casado(a),Cônjuge,Não,2322913,7366516072593582,1234567890123456,nsmith@example.org,36955,59746 Howard Ridge,8596,Apt. 434,Centro,West Robertland,SC,3619.8845792988204,7199214379,Psychiatric nurse,(597)593-1018,(453)608-8465,2014-10-06,4,2037-11-30,12,CCusto2,Financeiro,Setor A,Tipo1,2017-01-20,2093-08-29,21:33:52,22:22:27,Não,133-58-1424,Plano A,Guess newspaper figure.,2000-11-06,6026768980657005,Não,Operadora1
Consulta Médica,Javier Williams,412-19-3916,M,1930-04-11,2001-03-21,Stacy Carlson,Solteiro(a),Filho(a),Não,3557366,3636698151810571,1234567890123456,xsutton@example.net,11843,594 Diaz Mount Suite 001,2245,Suite 633,Moinhos de Vento,Leetown,MS,1749.055270495118,1242922162,Trade union research officer,915-600-9312x9142,663-592-3475,2015-03-03,7,2033-05-05,10,CCusto3,Vendas,Setor A,Tipo3,2022-06-06,2024-12-23,22:36:43,20:56:02,Sim,559-34-2683,Plano A,Analysis natural responsibility present area civil would per.,2007-04-18,6855845552969094,Sim,Operadora1
Consulta Médica,Danielle Giles,701-55-6134,F,1994-05-28,2016-08-23,Jennifer Franklin,Solteiro(a),Mãe,Sim,9433221,1787157913054063,1234567890123456,michael34@example.net,69486,903 Jennifer Coves Suite 269,35803,Apt. 784,Savassi,North Samuelfort,MS,4096.458364336452,9579790818,Maintenance engineer,+1-465-804-3385x906,843-516-2465,2022-10-29,1,2069-09-13,1,CCusto3,Financeiro,Setor C,Tipo3,2012-09-20,2093-05-23,21:10:44,17:25:53,Sim,373-33-1038,Plano A,Four owner significant do operation try thing natural.,2016-07-29,6419581242921053,Sim,Operadora1
Odontologia,Tricia Pierce,626-63-9148,F,1968-10-20,2019-08-18,Lee Blankenship,Casado(a),Filho(a),Sim,5566502,6017530451791028,1234567890123456,brownjeffrey@example.net,90431,542 David Village,18112,Apt. 473,Savassi,South Carolyn,AS,1196.0185466627884,178863001,"Scientist, marine",682.378.3913x453,277-444-9741x175,2021-06-27,9,2036-09-06,8,CCusto3,Recursos Humanos,Setor B,Tipo3,2006-07-12,2040-01-03,15:27:54,20:06:43,Não,657-12-6183,Plano B,International together follow off space upon probably admit.,2003-01-26,8817276919701126,Não,Operadora1
