Operadora,Código do Cliente,Razão Social do Cliente,Código do Associado,Nome do Associado,Tipo de Associado,Sexo,Data de Nascimento,Grupo Tipo de Atendimento,Valor,Data do Atendimento,Competência,CGC do Prestador Local,Nome do Prestador Local,Especialidade - Descrição,Prestador Local Próprio,Cidade do Prestador Local,Estado do Prestador Local,Código do Procedimento,Nome do Procedimento,Código do CID,Qtd Procedimentos,Cód do Grupo de Contrato,Plano - Código,Plano - Descrição,GUIA,Especialidade - Codigo,Classe de procedimento,Grupo Familiar,CPF Titular,Carteirinha Titular,Nome Titular
B,6853,"Kirk, Smith and Bell",56614,Patty Murphy,own,M,2002-10-17,support,85183.82899245078,2016-03-30,August 2015,24962122,Brady Ltd,black,Sim,South Mariahaven,MD,781,meet,A00,4,9,317,future,43592,1318,B,Sim,126-24-6611,516950,Carol Hurley
B,8752,Roth Inc,42303,Peter Kim,new,M,1955-05-22,discussion,34481.11269742725,2016-09-15,March 1994,42599675,"Wells, Green and Kim",address,Sim,South Lisahaven,VI,777,night,B01,3,5,907,military,27286,6206,C,Não,317-01-4009,560858,Dana Andrade
B,4525,"Harris, Davis and Maldonado",55011,Carrie Blake,act,F,1957-12-30,sing,89347.95935246197,2022-08-14,April 1974,20652750,Jacobs PLC,site,Sim,Conleyland,CA,534,party,D03,5,1,586,ever,36196,5935,A,Não,104-60-8657,662354,William Hopkins
D,6823,"Long, Walters and Clark",82584,Thomas Johnson,same,F,1975-10-12,serve,37764.73294000476,2006-06-20,August 1990,60948085,Brown Inc,almost,Sim,Jamesville,OH,769,rise,C02,5,10,544,deep,85132,7235,B,Não,566-70-7922,787213,Lori Young
C,4581,Jackson and Sons,37936,Charles Cox,your,M,1996-09-26,occur,22573.883721820497,2004-12-14,November 2005,76707454,Crosby-White,office,Não,South Christopherburgh,KS,700,career,B01,5,9,362,family,62634,5600,B,Não,845-71-8289,349682,Vanessa Gibson
D,8823,"Fox, Hall and Davies",22866,Michelle Smith,apply,F,2002-06-08,consumer,6587.318690603327,2003-02-17,July 2011,75515006,Gonzalez Inc,well,Sim,New Maryville,MI,998,suffer,A00,2,4,742,wall,57585,1978,B,Sim,310-31-2615,381973,William Lopez
C,4185,"Smith, Bonilla and Carter",47268,Michael Riley,design,M,1949-09-06,despite,65776.74843698807,2009-12-14,February 1971,27294643,Rodriguez and Sons,decide,Não,Ericaville,NH,310,outside,C02,5,6,569,Mrs,24813,9822,C,Não,445-57-3468,741219,David Medina
D,3855,"Lee, Griffin and Jones",43365,Julia Rodriguez,star,F,1986-03-03,stay,94659.04591047764,2018-05-17,September 1975,61410229,Massey PLC,well,Não,Michellemouth,MA,273,artist,C02,3,5,490,democratic,81577,4714,B,Sim,690-37-3981,805773,Jo Phillips
D,2733,Williams and Sons,64594,Rebecca Mclean,true,M,1985-01-08,give,27306.9053969878,2004-11-15,March 2014,51177253,"Lawrence, Drake and Floyd",morning,Sim,Russellland,GU,176,win,A00,4,4,162,environment,93463,8539,C,Sim,471-23-5149,539668,Arthur Francis
C,1476,Stone-Johnson,96145,Robert Walker,paper,F,1993-09-21,current,3023.8761646925313,2016-10-30,September 2005,23679573,Mora-Day,improve,Não,Lake Timothyshire,FM,496,state,C02,3,10,850,stay,73762,9760,A,Não,459-09-0509,823085,Robert Spears
B,4372,"Sanders, Torres and Dennis",55811,Austin Booth,staff,M,1995-03-14,politics,16466.419086154645,2014-03-05,October 1980,78883435,Hawkins Group,serve,Não,Fischerville,NM,303,security,C02,5,8,108,these,74898,2434,A,Sim,047-11-5479,723523,Jennifer Perez
C,9131,Arnold Ltd,85998,Kevin Barnes,service,M,1969-03-26,she,64759.62351939383,2009-06-03,November 1999,93314990,Doyle and Sons,traditional,Não,Port Charlesside,WA,229,arm,B01,5,10,328,door,60655,3646,B,Não,377-31-8761,870461,Jason Hess
D,8396,Washington-Garcia,33097,Jeremy Serrano,sometimes,F,1967-08-16,garden,3659.2557251992753,2023-03-14,December 2008,22906039,"Miller, Sullivan and Brown",social,Sim,Martinezport,MT,911,find,B01,4,8,322,now,81888,7482,C,Sim,641-59-3590,533301,Stephanie Hutchinson
C,6647,Krueger Inc,11629,Samuel Good,machine,M,1990-09-16,family,54474.72156909665,2018-09-13,September 2011,39472333,Gonzalez Ltd,position,Não,Janethaven,SD,371,have,A00,2,9,155,example,23474,9967,B,Não,567-74-9265,790710,Michele Wright
A,3751,Lyons-Ramirez,35171,David Harris,report,M,2004-01-23,southern,81773.27403169766,2002-11-04,February 1977,33002055,Pruitt Inc,others,Não,Jensenfort,NY,340,scene,C02,4,6,158,full,77680,4231,C,Não,221-51-5578,573240,Angela Mata
C,1937,"Burnett, Palmer and Collins",75771,Jamie Johnson DDS,resource,M,1983-02-16,thing,84060.7677907884,2019-06-21,March 2019,66309541,Cooley-Bradford,believe,Não,East Thomasview,AZ,458,sit,D03,2,6,912,modern,16062,6385,B,Sim,411-66-9237,713956,Robert Davis
C,3401,Cannon PLC,36701,Jonathan Tran,by,F,1977-10-20,training,97426.05310348532,2002-01-06,January 2001,79939577,"Wood, Mcmillan and Gordon",each,Não,South Douglas,DC,109,cup,D03,5,9,959,beyond,46305,6706,B,Sim,823-28-1372,814857,Stephanie Chavez
C,8859,Schneider Ltd,88331,Matthew King,rise,M,1984-06-30,quickly,58780.05767225959,2008-04-28,September 2003,22301470,"Hart, Hill and Hernandez",together,Não,Lake Mikaylashire,NE,906,blue,D03,4,1,289,painting,52043,6674,B,Não,828-94-3087,353192,Dr. Joseph James
A,1617,"Zuniga, Terry and Cain",61853,Robert Schwartz,money,F,1993-02-06,perhaps,35780.06313683572,2003-01-15,December 2018,31209588,"Rogers, Smith and Howe",perform,Sim,North Heather,ND,395,night,C02,5,5,454,these,59896,2605,C,Não,750-76-8993,321762,Catherine Brown
A,3504,"Rodgers, Cunningham and Cross",62293,Matthew Campos,different,F,2001-01-10,talk,82319.17132166836,2020-05-18,July 1984,80887419,Moreno Ltd,sound,Sim,East Victorberg,RI,675,sport,A00,2,8,961,attorney,41801,3382,A,Sim,453-31-2756,933939,Richard Barnett
D,1012,Zuniga-Lane,84872,Jennifer Valencia,factor,F,1996-11-26,time,80229.83912024078,2008-12-14,April 1977,45185252,Roberts and Sons,especially,Sim,New Jeromehaven,UT,584,drive,B01,1,8,978,next,71201,6272,C,Sim,285-59-7938,594638,Lori Lewis
A,7948,Collins PLC,73806,Michael Mason,bring,M,1955-11-17,reason,35105.7722007004,2011-09-22,February 1988,59970775,Hayes-Rivera,nor,Não,New Rickyfurt,MA,891,almost,D03,2,3,707,offer,49183,7117,C,Sim,166-50-6286,350508,Ashley Martinez
B,8147,Shields-Graham,27317,Christopher Rivera,need,M,1999-06-16,beat,40856.261645715254,2013-03-17,October 1976,27948376,Peck-Hicks,where,Não,Walkerfurt,MO,646,entire,B01,3,2,838,school,59008,3572,B,Não,434-70-2001,138101,Amanda Jackson
C,9028,"Williams, Hull and Garcia",58822,Patricia Kennedy,stage,M,1963-03-06,mission,84398.45258699513,2002-11-21,July 2015,43530797,Diaz Inc,tough,Sim,South Amanda,OK,670,me,A00,1,7,988,couple,94866,9600,C,Sim,880-88-8929,173496,Barry Owens
A,7116,Wilkinson-Vance,11607,Anna Hill MD,school,M,1996-12-27,decade,58361.78410611914,2004-10-19,June 1982,68168956,Green-Barnes,his,Sim,Robertbury,SD,745,artist,B01,4,2,721,lay,97099,4423,A,Não,021-54-7334,188692,Stephen Villanueva
A,5548,"Christensen, Pearson and Shah",63351,Mary Cobb,south,F,1966-09-29,remember,37261.991632597295,2012-10-02,May 1972,29699911,"Harmon, Sanders and Ramirez",her,Não,West Elizabeth,OK,853,arrive,B01,5,4,972,focus,92251,7855,C,Não,347-88-6767,393951,Sherri Fernandez
D,7848,Riley-Castaneda,46793,William Pittman,more,F,1951-02-24,let,87729.91932215792,2013-10-19,January 2003,44985039,Davis-Cunningham,night,Não,Michelleshire,ID,893,require,B01,4,8,633,nation,55547,2139,C,Não,491-82-2877,695101,James Green
A,2364,"Johnson, Fernandez and Briggs",17749,Anna Nguyen,involve,M,1994-02-21,bar,12351.503746890905,2008-06-02,July 2019,65907377,Smith-Perez,under,Sim,West Dale,MH,978,expect,D03,2,2,386,religious,26699,6338,A,Não,889-34-5384,490641,Ruben Haas
D,9022,Dyer Ltd,42825,Katherine Johnson,agreement,F,2002-05-25,camera,76460.53243053138,2017-07-06,January 1990,84043613,"Boyd, Roberts and Gallegos",policy,Não,Robertfort,WV,271,truth,A00,5,3,114,write,43052,2945,B,Não,445-92-6700,770998,Rebecca Gordon
A,5911,"Cochran, Hanson and Smith",92394,Brian Murray,share,F,1992-01-16,purpose,72712.62041781434,2019-01-03,January 1983,69866299,"Wright, Guerrero and Shaw",process,Não,North Williamhaven,VA,105,threat,A00,2,7,162,course,64238,5494,A,Não,304-99-4708,751363,James Brown
D,6456,Flores and Sons,95640,Nathan Roberts,stop,F,1986-04-05,development,65669.60249156458,2015-07-15,June 1979,42398006,"Chambers, Alvarado and Hunt",across,Não,Phyllisland,LA,215,treatment,B01,4,9,698,feel,95690,2409,B,Sim,508-57-2137,144556,Angela Frost
D,8970,Hogan Ltd,89302,Eddie Thomas,the,M,1999-03-17,goal,82336.36350161693,2015-08-30,October 1978,87532033,Hunt Ltd,father,Sim,Delgadoshire,MN,395,myself,C02,2,2,287,his,34934,6217,B,Sim,312-28-2439,245041,James Aguilar
D,4061,Alvarado Group,71641,Chelsey Wilson,simply,M,1988-07-09,will,27969.848599603065,2004-09-17,November 1974,93737010,Riddle-Barrett,Mr,Sim,Lake Jamie,MA,906,speak,C02,3,3,114,force,98938,2912,A,Sim,122-10-4150,528494,Bryan Martin Jr.
B,3874,"Johnson, Owen and Collins",39664,Carol Armstrong,gas,M,2000-09-27,small,88819.5676710626,2001-04-20,May 2015,48497402,Lam-Barron,build,Sim,West Jessica,ND,678,without,A00,3,4,919,computer,73899,7157,A,Não,598-48-9738,635281,Belinda Boyer
A,8727,"Williamson, Dominguez and Bernard",22489,Francisco Garcia,night,F,1958-11-27,lose,64118.24264872249,2021-10-17,February 1996,48058096,Garcia PLC,fish,Sim,East Kyle,FL,948,improve,B01,1,5,164,paper,20954,2243,B,Sim,509-95-2659,915011,Keith Townsend
A,4723,Brady Inc,93331,Matthew Hardy,sea,F,2005-08-21,director,17251.350248903454,2019-01-19,September 2015,13756596,"Wade, Cain and Wall",agreement,Não,New Mistymouth,VA,574,key,A00,5,2,378,table,83459,9313,A,Sim,584-70-7715,724000,Gary Chung
B,9729,Schmidt PLC,79627,Dr. Brooke Johnson DDS,enter,F,1992-08-20,professor,82643.16907349094,2004-10-29,March 2005,91563399,Schmidt PLC,tell,Sim,Markmouth,NM,986,here,B01,4,2,817,state,68147,5734,A,Não,407-20-8986,772150,Cynthia Wiley DVM
C,9498,Gonzalez-Gordon,77096,Erika Taylor,various,M,1994-01-16,partner,11053.841395080337,2018-11-24,December 2015,33068586,Bennett LLC,ok,Sim,North Kristy,ID,986,general,D03,4,5,440,agree,44755,6866,C,Sim,361-31-9808,922105,Anthony Roman
D,9934,Bailey-Cooper,47970,Jared Martinez,they,F,1990-05-08,step,80985.03884456943,2001-07-16,February 1977,87930069,Mcfarland-Simpson,finally,Não,West Brendaberg,MI,580,down,D03,4,9,913,all,11820,5328,A,Não,800-36-0035,475609,Robert Moore
C,1841,Graham-Grant,74012,Zachary Barrett,company,M,1954-02-13,fight,6304.4905853304535,2020-03-10,July 2008,76800568,"Holt, Bradley and Underwood",eight,Sim,Longstad,MI,443,price,A00,4,1,987,question,64637,8394,C,Sim,490-55-8963,983939,James Murray
A,6228,Cox and Sons,40298,Jeremy Griffin,peace,F,1975-08-26,each,8566.017790479274,2021-10-20,September 2021,46184179,"Wilson, Lee and Brown",hair,Sim,Kimberlyborough,PW,657,state,B01,1,5,272,cost,95184,2949,A,Não,575-95-6914,122062,Veronica Carpenter
D,9069,"Lopez, Hall and Blair",43677,Craig Hudson,cup,F,1962-11-15,left,10048.293356326774,2002-08-23,May 1974,83689617,Rodriguez-Ellis,kid,Sim,Lake Tonyshire,WY,229,usually,A00,2,10,742,sing,50705,2764,C,Não,305-54-0653,913256,Tamara Moody
A,5991,"Riggs, Moore and Schroeder",86083,Maria Hanson,question,M,1986-03-14,state,55171.73155718546,2021-07-07,November 1984,13147078,"Smith, Maxwell and Schwartz",bag,Sim,Mooreville,TN,184,seek,D03,1,4,199,hit,44018,5660,B,Não,571-81-9210,851416,Paul Hunt
A,8236,Hardy PLC,36747,Erica Nelson,pass,F,1992-05-15,opportunity,68413.75811232232,2009-07-24,February 2001,87378033,Thompson-Watson,operation,Sim,Susanton,AK,190,son,B01,3,2,768,data,15715,9520,A,Sim,111-40-9659,279378,Denise Williams
D,3266,"Smith, Bradley and Fernandez",46035,Terry Rose,media,F,1959-01-01,miss,8664.623467724483,2007-06-27,April 1997,89414323,"Watson, Thompson and Atkins",Mrs,Sim,South Amy,KY,423,fact,D03,4,8,939,born,96335,7922,A,Sim,136-19-3981,784328,Robert Hall
C,7333,Russell-Cortez,62354,Kara Daniels,defense,F,1951-03-09,sport,51074.660555871684,2009-09-27,June 2015,48104685,"Taylor, Griffith and Turner",sister,Não,South Devin,GA,499,within,A00,1,8,233,time,12643,1901,B,Sim,687-30-1256,261880,Ashley Watson
D,7738,Anderson-Haley,88160,Steve Fitzpatrick,meeting,F,2000-09-21,learn,37393.83820322907,2019-12-05,November 1988,59351386,Allen PLC,allow,Não,North Janetfort,MI,994,lawyer,D03,4,5,771,finally,30793,2378,A,Não,192-96-9845,217858,Sarah Stark
C,6319,"Manning, Brown and Garcia",21988,Derek Bauer,son,F,2000-09-12,serious,14712.827628241012,2011-07-14,January 2009,87921180,Khan Ltd,live,Sim,New Nicholaston,MA,926,big,D03,4,2,951,everybody,48959,8585,C,Sim,733-73-9475,630469,Jorge Roberson
B,6287,Gonzales LLC,99870,Angela Brewer,focus,M,1970-08-31,eye,28315.883163286548,2003-04-15,July 1991,86347181,Crawford Ltd,minute,Sim,Smithstad,SC,262,newspaper,D03,4,6,234,no,90081,6641,B,Sim,469-41-5102,435867,Raymond Walker
A,7113,Warner Inc,67976,Rachel Rodriguez,require,M,1967-08-24,chance,45242.68333932798,2016-02-21,May 1982,39379690,Myers LLC,develop,Sim,West Williamshire,NM,225,student,D03,2,5,640,nice,33211,4962,A,Sim,214-46-3982,541855,Susan Whitaker
D,1000,"Perez, Lewis and Carlson",27336,Justin Rose,direction,M,2005-03-17,college,15105.26224286192,2002-04-23,February 1994,17752290,"Schmitt, Adams and Aguilar",stop,Sim,Lake Katherine,MN,644,receive,D03,2,9,736,garden,34313,7154,C,Sim,304-69-1332,899807,Jennifer Young
C,2889,Reed Group,27632,Alexis Bryant,career,M,1997-07-25,will,28459.771514727832,2012-10-08,May 2011,89642783,"Hurley, Davis and George",here,Não,East Breannahaven,TX,644,rather,D03,3,4,920,money,16402,4497,B,Sim,650-33-5902,899936,Adam Martinez
A,8657,Turner Inc,56538,Jodi Allen,way,M,1960-06-01,both,42613.21474986368,2018-06-25,September 2013,26634480,"Baxter, Murphy and Thomas",such,Sim,West Dustinfurt,NH,995,wrong,A00,4,8,171,experience,59971,6708,C,Não,780-45-6801,339818,Jessica Benton
A,6111,Burns Ltd,12143,Tyler Jensen,sea,F,1965-09-12,film,30744.617840504798,2015-12-16,December 2004,39056798,"Cross, Mccarthy and Hays",left,Não,Port Amber,SC,620,or,D03,1,10,708,quickly,63356,7405,B,Sim,246-26-2944,292863,Jason Hartman
D,4172,"Curtis, Hunter and Hancock",42483,Dawn Thompson,billion,F,1976-09-13,our,78655.78057273549,2001-02-24,May 1996,72437925,Flores and Sons,wonder,Sim,New Brianbury,CT,752,grow,B01,2,6,680,million,55352,6910,C,Não,079-97-2651,227670,David Palmer
C,9071,Murphy PLC,14660,Matthew Ramirez,job,M,1962-10-13,development,36622.535139708525,2017-06-15,April 2009,36790019,"Vargas, Cannon and Watkins",answer,Sim,Lake Georgemouth,GA,587,else,B01,3,9,612,two,13719,6931,C,Sim,668-55-2676,642735,Jonathan Gonzales
B,4907,Ford-Smith,44019,Jamie Smith,concern,M,1965-06-03,whole,70246.92183982838,2009-10-28,August 1987,88921796,Singleton-Walker,Republican,Sim,Cynthiaborough,UT,240,policy,A00,4,1,690,letter,15989,3528,C,Sim,646-45-1956,874056,Michael Reyes
C,9976,"Williams, Thompson and Ramirez",80401,Maria Green,home,M,1964-04-05,cause,38785.15559230374,2007-11-05,November 1980,77980327,"Wilson, Golden and Hernandez",wait,Não,East Ebony,MP,767,road,C02,1,8,659,nearly,11687,6182,C,Não,246-65-0573,240998,Tyler Chan
A,1333,Garza-Taylor,34160,Olivia Murphy,assume,F,1971-01-11,year,48531.99475229245,2018-04-30,August 1987,79571478,Nelson-Fletcher,look,Sim,Lunachester,LA,449,along,A00,2,6,860,country,45290,6691,B,Sim,851-21-1633,765890,Kyle Parks
A,7727,Grant Ltd,31734,Garrett Brown,right,F,1977-09-01,create,78291.52959851832,2011-05-11,February 2008,38172699,Goodman Inc,about,Não,South Patriciashire,RI,717,career,B01,4,5,650,art,60930,1132,C,Não,486-64-2229,355184,Laura Rivera
B,6579,"Meyer, Larsen and Miller",72492,Crystal Lawrence,shoulder,M,1959-08-18,will,74027.55894429708,2011-05-01,June 1993,99954209,"Chavez, Watkins and Reynolds",catch,Não,Jasminehaven,OR,579,no,A00,5,2,247,morning,18427,1037,B,Não,607-98-9017,978669,Benjamin Lewis
A,7423,Smith-Bray,24078,Cynthia Walters,consider,M,1955-06-21,hospital,14119.470637324659,2008-08-26,May 1970,92388194,Wilson-Willis,out,Sim,Meganmouth,NE,100,yeah,A00,4,6,755,onto,38102,3946,B,Sim,493-73-0368,406637,Gary Sims
A,9016,Ramos Group,74095,Cheyenne Barajas,security,M,1958-05-30,figure,92281.06224515174,2006-05-02,May 2001,53400754,Wallace PLC,bar,Não,Austinmouth,MT,768,attorney,D03,3,8,846,day,56516,7764,C,Sim,817-79-7258,776884,Valerie Brown
D,9295,"Campbell, Martin and Smith",78521,Eric Shaw,no,F,1989-06-11,interview,18442.587498136574,2010-05-18,December 2003,88668918,Martinez and Sons,leg,Não,Nathanside,IA,656,nothing,B01,1,9,292,environment,45120,1487,C,Sim,084-46-5965,871010,Travis Roberts
B,4564,"Sullivan, Horton and Armstrong",23633,James Ward,blood,F,1999-07-19,three,5247.732096979519,2006-08-30,April 1978,75265662,"Mcintosh, Hernandez and Padilla",meet,Sim,Gillfurt,MT,595,part,A00,5,5,153,if,18985,6347,C,Sim,595-27-3653,236138,Bryan Davis
B,7170,Green Ltd,53354,Roberto Maynard,series,M,1986-02-11,rest,54066.486736476785,2006-08-16,June 1990,40950671,Bryan Group,group,Sim,North Laura,KY,662,until,B01,1,10,577,by,10745,7226,A,Sim,575-48-9927,301579,Sherry Everett
A,8625,Mckee-Moody,39494,Victoria Adams,theory,F,1997-06-02,situation,75827.98861013011,2007-03-09,February 1989,22186927,"Preston, Johnson and Hawkins",the,Não,New Angelafort,MP,210,example,A00,2,7,556,poor,70263,7955,C,Sim,193-05-3052,172867,Ms. Anna Wright DVM
D,9594,Dixon-Johnson,79637,Annette Figueroa,adult,M,1988-03-23,claim,37353.73470534031,2022-07-17,October 1974,55487867,"Martinez, Dixon and Benson",stand,Sim,Currystad,AZ,268,accept,D03,1,1,774,sign,68174,3351,B,Não,642-32-8252,561121,Angel Shelton
D,6963,Heath-Chambers,48347,Michelle Valencia,computer,M,1977-12-21,campaign,63832.02277273157,2007-06-26,December 2023,64806505,Barnes Ltd,picture,Sim,New Andrewbury,NY,905,either,A00,4,8,567,politics,90102,4806,C,Não,765-87-8617,497372,Sharon Prince
A,4804,Graham LLC,57925,Devin Hill,rise,F,1960-05-13,thought,66430.5370086746,2010-11-24,October 1981,55111759,Howell Group,professor,Não,Ronaldton,CT,751,clear,A00,5,7,134,nice,57591,4541,C,Sim,068-50-4818,684124,Casey West
D,7617,Monroe Group,61006,Vincent Alexander,yes,F,1987-12-19,art,9873.526678884939,2008-06-13,March 1989,64364928,Carlson-Wright,chair,Sim,Medinafort,OH,417,likely,D03,5,1,105,miss,21246,9292,A,Não,521-45-9236,323797,Heather Young
B,7235,"Stark, Gilmore and Williams",18985,David Fitzgerald,suffer,M,2003-06-27,life,94922.45641492844,2016-07-06,April 2014,40041920,Lawson LLC,no,Não,Port Raymondchester,AK,862,whom,C02,1,4,326,bank,94227,1585,C,Não,001-01-2905,878505,Rhonda Romero
B,4028,Hunter-Martinez,63668,Jason Ibarra,direction,M,1950-10-20,identify,72423.72334911223,2000-12-31,February 1990,11224813,"Miller, Ingram and White",head,Não,Deniseview,AZ,885,time,C02,1,7,870,what,83914,2155,C,Sim,725-03-0348,778661,Kathleen Brown
A,5545,"Avila, Hester and Wyatt",87401,Amanda English,sound,M,1959-03-05,cultural,41753.05371921731,2004-02-17,March 1982,54475756,"Schultz, Dyer and Hernandez",news,Não,Hughesland,FL,816,trouble,C02,1,10,184,question,77922,9110,B,Sim,249-81-1992,146275,Lucas Mitchell
A,8976,Gibson-Hawkins,87514,Kimberly Horn,enter,M,1993-01-24,situation,56781.31670889391,2016-12-22,November 1971,53218949,"Moore, Henson and Love",stage,Não,New Christinetown,AR,170,day,C02,4,1,330,certain,48659,9685,C,Sim,034-36-5292,147251,Andrea Cooper
C,4892,Harvey Group,18248,Valerie Price,professional,M,1962-01-15,pick,45022.93801319083,2001-09-24,August 2018,63642121,"Branch, Morales and Garcia",same,Sim,Port Jamesport,MT,263,final,B01,2,8,783,grow,14553,5126,C,Sim,609-68-4610,118532,Dana Diaz
C,4691,Ramirez PLC,50449,Rachel Brown,hit,F,1977-03-30,safe,31763.51152561561,2022-03-23,February 2006,59797824,"Park, Wright and Brown",campaign,Sim,Lake Christina,MH,344,sense,C02,3,1,529,who,98930,5704,B,Não,428-61-5225,533910,Mr. Jonathan Walker
A,4509,"Lee, Fisher and Haley",25875,Eric Moyer,offer,F,2002-10-06,color,5766.860769352581,2000-08-23,April 2011,22945938,Williamson Ltd,character,Não,West Shannonhaven,NV,915,free,B01,2,2,278,young,58075,4517,B,Não,603-25-3569,272139,Kenneth Jacobson
D,6835,Lopez Ltd,58368,Craig Rodriguez,make,F,1948-08-22,subject,12047.202540328688,2013-12-15,October 1977,57617435,Ruiz-Gordon,tonight,Não,Jenniferside,FL,902,record,C02,3,7,333,available,88398,4135,C,Não,382-70-3021,734124,Richard Vance
C,6592,Jones PLC,91537,Thomas Hernandez,ten,M,1983-05-03,drug,76908.27376455364,2012-04-01,October 1996,13158021,Shah Ltd,send,Não,North Gailfort,MS,402,take,B01,3,8,969,several,37736,3871,C,Sim,846-82-5547,211045,Michelle Hensley
B,8550,"Cervantes, Parker and Smith",52755,Kenneth Meyers,cell,M,1949-04-30,away,10601.661113941569,2011-08-02,February 1983,40677507,Gonzalez PLC,house,Não,Nelsonberg,PW,214,perhaps,D03,4,2,792,how,54845,5187,C,Sim,544-97-5345,327788,Donna Grant
D,4293,Wells PLC,42101,Heather Tucker,write,M,1972-01-02,situation,18275.521583672587,2020-06-15,July 1994,83723573,Brown Inc,small,Sim,Hartside,MT,293,operation,D03,5,6,865,system,33787,7976,B,Sim,035-59-0383,153309,Nicholas Dixon
B,5118,"Collins, Gould and Duarte",39533,Mr. Charles Porter,seem,F,1968-07-19,news,84132.20452193027,2020-07-19,December 1974,70626894,Wilcox-Barajas,mother,Não,Aliciastad,MA,481,glass,A00,2,9,997,leader,83473,8654,A,Não,593-83-8474,843727,Jonathon Griffin
B,7363,"Paul, Cooper and Savage",57752,Gary Robinson,game,M,1988-09-20,between,39106.33736982423,2009-06-25,September 2017,95511522,Reed-Hampton,candidate,Sim,Mayerhaven,OK,884,sort,A00,3,1,421,pressure,38608,7867,A,Sim,283-06-8341,378523,James Deleon
C,2099,"Elliott, Munoz and Johnson",75902,Douglas Romero,success,F,1951-04-15,want,11637.557998934195,2019-01-06,May 2014,35241951,Hampton Group,enough,Não,South Amy,NH,982,action,C02,1,10,449,figure,54479,8666,A,Sim,573-09-9712,861393,Jordan Moran
A,3741,"Parker, Oconnor and Long",31829,Sarah Maxwell,give,F,1985-04-18,light,82921.57201281938,2003-09-06,September 1981,93957000,Rogers-Skinner,itself,Sim,Wagnermouth,KY,424,stay,B01,5,2,288,pass,47952,6220,B,Não,552-67-2428,195418,Nathan Henderson
