NOME FUNCIONARIO,CPF,DATA,UNIDADE ATENDIMENTO,NOME PRESCRITOR,CRM,UF CR,TIPO CR,TEMPO,TIPO TEMPO,HORAENTRADA,HORASAIDA,CID,ACEITO,OBSEVAÇAO,ORIGEM,RECEPCAO,ESPECIALIDADE
Jeff Rodriguez,559-94-6938,1987-12-05,"Rodriguez, Brown and Hubbard",Nathan Davis,24469,CT,B,4,Anos,04:16:15,21:41:57,C02,Não,"Political however none hold value serious light police. War sea notice wife animal get he. Allow six kitchen name financial.
Here determine kid kid plant.",Pronto-Socorro,Recepção C,Ortopedia
Karen Lee,359-47-5407,1925-07-10,Good Ltd,Rebecca Horne,29077,CA,A,19,Anos,19:08:23,23:56:10,C02,Não,"Long responsibility surface yard test. Pattern great we game everything represent.
Despite improve action his. Purpose kitchen must training couple around.",Clínica,Recepção A,Cardiologia
John Cox,162-50-4671,1925-10-14,Phillips LLC,Barbara Olsen,35235,MD,C,29,Meses,22:00:12,02:44:05,C02,Não,"Hot give back more. Develop serve could control by.
Lay note perhaps involve. Film left popular join organization production. Fact because kitchen be. Who thousand hard network assume blue have.",Pronto-Socorro,Recepção B,Cardiologia
Stacey Edwards,519-80-5435,2017-11-03,Watson Ltd,Luis Farmer,16535,CA,B,19,Meses,12:15:35,22:13:37,B01,Não,"Since however how ever behavior.
Message loss eat political how. Number interview art quite chair line break.",Clínica,Recepção B,Ortopedia
Bruce Thomas,669-97-6237,1962-07-21,Myers Inc,Tyler Smith,38326,VT,B,5,Meses,19:22:25,17:27:15,A00,Não,"Job skill speech daughter page. Development likely process raise. Car measure ability officer pattern.
Seek growth real miss debate.",Hospital,Recepção A,Cardiologia
Kelly Bailey,256-36-2807,1988-07-22,"Smith, Williams and Miller",Barbara Ramirez,94449,AK,B,11,Anos,09:11:29,16:07:51,C02,Não,Television plan record nation us night. Describe side about cost major put. Cup instead media young start arrive.,Clínica,Recepção A,Cardiologia
Kathleen Thompson,085-78-1860,1986-06-28,"Terry, Myers and George",William Berry,86792,FL,B,24,Meses,21:19:05,04:23:09,A00,Não,Strategy argue bank start ok happy way letter. Need go general. Else build wait go check become mean can. Door economy mission recent staff box travel.,Clínica,Recepção C,Cardiologia
Lauren Ford,282-96-9849,1908-06-13,White-Brooks,Ashley Weaver,78279,PA,B,17,Anos,04:02:13,05:00:52,C02,Não,"Wife north vote attack. Edge share key hard. Pressure return color fire space drive.
Seem be morning record whose fast American. From bring great over. Statement already miss sign leave.",Hospital,Recepção B,Cardiologia
Danielle Cervantes,121-88-0175,1922-04-12,Bender-Harvey,Sydney Jensen,28524,MS,B,5,Anos,00:12:12,00:48:04,C02,Não,Daughter front bed fly generation paper country financial. For they indicate mouth. Gun here subject group discover next provide. Decade sound above receive Republican conference.,Pronto-Socorro,Recepção B,Ortopedia
Brett Nelson,172-44-0299,1915-09-18,Henderson-Rios,Michael Lopez PhD,96965,CA,A,16,Dias,14:21:52,22:15:07,C02,Sim,Couple modern teacher industry make. Information Mrs individual structure partner. Want father still hot reach institution goal campaign. Most middle technology student natural.,Pronto-Socorro,Recepção A,Cardiologia
Martha Obrien,025-97-9678,2012-04-01,Carlson Ltd,Brittany Cruz,57896,NH,C,18,Meses,07:59:47,16:52:51,B01,Não,Medical west fine crime PM. Understand kid expect buy represent. Course develop improve direction federal. Risk economy around second.,Hospital,Recepção C,Ortopedia
Melissa Warren,640-75-8255,1961-11-22,Smith-Murray,James Wiggins,52948,OH,C,15,Dias,08:14:03,20:09:52,B01,Não,"Identify forward floor themselves south. Painting morning space fall onto. Part close itself whom weight purpose kid box.
Degree investment place simple trouble certain.",Pronto-Socorro,Recepção C,Cardiologia
Eric Lopez,699-95-2742,2007-08-10,Hughes-Rhodes,Craig Wilson,89859,KS,B,18,Dias,03:03:56,20:38:52,C02,Não,"Many catch add from dog line wide. Between guy address address.
Garden white soldier hear my including. Above health everything sign new left practice. Operation body do truth.",Pronto-Socorro,Recepção A,Ortopedia
Leslie Smith,050-50-1291,1912-01-05,"Diaz, Villa and Beltran",David Carr,88105,LA,A,17,Anos,10:03:20,07:49:38,C02,Não,Board article herself particular physical. Gas grow movement take under pay also.,Clínica,Recepção A,Pediatria
Katrina Mitchell MD,775-75-4734,1984-01-13,Hendrix-Warren,Robert Reeves,84265,DC,A,16,Anos,01:20:03,07:45:20,A00,Sim,"Inside official treatment. Paper couple place point.
Receive third onto me police white. Raise season trial voice single record. Dinner its treatment place.",Clínica,Recepção C,Pediatria
Amber Austin,537-21-6544,1915-09-22,Lawson-Hanson,Scott Wright,56483,IL,A,6,Meses,02:45:51,11:30:59,C02,Não,"Share address know history. Program story kid rich.
Thank guess behavior major machine crime. Sure southern prove stock after.",Clínica,Recepção B,Cardiologia
Brian Carroll,872-59-8390,1987-03-13,"Winters, Brown and Padilla",John Hicks,29672,FL,A,1,Dias,23:15:52,08:25:01,A00,Sim,"Wife baby book so. Court apply can.
State establish source behavior democratic however past. Quality instead morning road protect medical something.
Agree consider visit truth detail.",Clínica,Recepção A,Cardiologia
Dakota Rhodes,117-19-3643,1980-07-06,Pierce-Ortiz,Holly Smith,88027,WY,A,13,Dias,21:18:49,04:45:55,B01,Sim,"Buy get light stay kitchen analysis. Road whatever clearly part sing.
Important take race mother. Sell seem answer amount white its reduce at.",Hospital,Recepção A,Cardiologia
James Martin,026-23-8033,1922-09-20,Velazquez LLC,Ian Clayton,82136,VT,A,6,Anos,19:27:00,15:01:23,A00,Não,"Effort raise fire various shake. Then stop player then game deep first.
Executive effort glass method cover. Skin against teacher born want. I condition certainly trade.",Clínica,Recepção B,Cardiologia
Chase Hartman,751-43-7419,2023-08-26,"Powell, Howard and Jordan",Donald Nguyen,96905,KY,B,25,Dias,18:02:47,18:33:03,C02,Não,"Good people have travel force. Enjoy book owner share manager recent.
Hospital hold else back develop leg. These town I stuff.",Clínica,Recepção A,Cardiologia
Carol Cox,196-36-8792,1957-12-12,"Williams, Pennington and Russell",Sarah Joseph,55796,AK,B,24,Dias,04:29:29,23:15:39,A00,Não,"Accept arm painting return least feel will.
Financial decide for event book lot. Stop baby step ago social reflect people. Street call six leg cause. Without start performance gas pay probably.",Pronto-Socorro,Recepção C,Pediatria
Sharon Craig,459-03-6769,1930-06-09,Reed-Bradley,Laura Guerrero,79731,MT,B,8,Anos,22:28:13,14:24:05,A00,Não,"Foreign reduce return rich. The still course always technology up collection. Ground network improve agreement for letter.
Pay audience support from officer. Inside her concern sister.",Clínica,Recepção A,Cardiologia
Joyce Blake,657-14-4103,2023-02-20,"Hall, Warren and Hayden",David Robinson,13887,UT,A,19,Meses,06:25:40,20:50:20,C02,Não,"May personal land agreement including gun. Minute rule watch available.
Despite food himself light quickly. Lawyer long personal region our.",Clínica,Recepção B,Pediatria
Donald White,823-98-7535,1942-03-26,Maynard Inc,Jason Choi,10719,HI,A,9,Dias,22:53:07,15:05:53,C02,Sim,"Positive social after fear.
Music street follow. Describe animal body offer away rate. Thus similar rock explain benefit.",Pronto-Socorro,Recepção B,Cardiologia
Justin Lyons,573-41-0918,1972-10-25,"Friedman, Shields and King",Mary Wiggins,37228,NC,C,4,Dias,13:09:30,13:05:34,A00,Sim,Unit either staff bring key these ok. Participant wall standard office approach while project. Couple job appear.,Pronto-Socorro,Recepção B,Ortopedia
Nichole Warren,661-83-6613,1996-09-21,Henderson-Smith,Brian Ward,71193,MO,A,6,Meses,18:14:36,08:09:33,A00,Não,Easy catch research prevent thought continue decade. Various Democrat price enjoy. Little lawyer other. Few ability where spend.,Pronto-Socorro,Recepção C,Ortopedia
Megan Boyle,879-65-9364,2006-10-02,Sullivan and Sons,Tamara Martinez,35344,LA,C,19,Anos,00:09:17,21:21:31,C02,Sim,"Woman sound attention behind. Land popular anyone option. Hundred prepare so crime share.
Property expect fill beyond. Somebody local training money trade can kid.",Hospital,Recepção A,Ortopedia
Alice Grimes,441-68-0476,1984-11-17,Williams-Reynolds,Jessica Price,48843,GU,B,13,Dias,15:20:15,12:59:42,C02,Não,"Level current boy himself draw. Guess paper end similar. Yard recently nature.
Military least something. Dark offer wide fact land.",Hospital,Recepção B,Pediatria
Daniel Baird,420-16-0245,1993-03-09,Walker Group,Michelle Bailey,65259,WI,C,27,Dias,12:40:08,18:21:23,A00,Sim,"Community order fire open side contain. Ball point analysis must.
Their course above money stock manage maintain. Believe unit style send chair.",Hospital,Recepção B,Pediatria
Shannon Chambers,391-31-8799,1993-05-20,"Johnson, Herrera and Allen",Kerry Johnson,80595,FL,B,26,Anos,09:16:28,06:20:33,B01,Sim,"Help sense data after. Guess court future effect center.
Old report of organization. Note beautiful inside why child prove. Subject likely campaign.",Pronto-Socorro,Recepção B,Pediatria
Tyler Martin,575-08-7907,2013-06-03,Allen-Lopez,Brian Andrade,20789,IL,A,17,Meses,21:10:08,14:25:35,C02,Sim,Describe be check list key military. World rock commercial piece step list. Lay final serious stop during probably.,Hospital,Recepção A,Ortopedia
Jerome Sanders,692-04-2581,1938-03-02,Bates-Ayers,Shane Lyons,70039,OR,A,17,Dias,10:31:25,22:08:21,B01,Sim,Fund magazine population red support. Practice human step remember action. Business meet allow necessary business front perform citizen.,Clínica,Recepção C,Pediatria
Grant Lane,030-40-3119,1917-09-22,"Terrell, Reed and Ramirez",Dr. Erik Powell,50296,NV,A,10,Anos,12:41:31,08:55:57,A00,Sim,"Pressure official describe blue. Financial development evidence across.
Production baby relationship. Standard machine be collection six dinner. Wish eat film.",Hospital,Recepção B,Pediatria
Yolanda Taylor,860-92-8045,1980-03-14,"Schroeder, Davis and Johnson",Wendy Ortiz,32454,AR,B,21,Anos,11:31:21,06:19:18,A00,Não,"Up section rule. Spend else condition available like foreign difficult.
Soon benefit check always law response ground. She never however industry then product enjoy. Television student member.",Hospital,Recepção A,Ortopedia
Katherine Bond,022-73-0982,1978-09-24,"Berry, Russell and Humphrey",Heather Davis,75513,AR,B,25,Anos,02:31:41,22:28:32,C02,Sim,"Born control cultural tonight entire charge. Seek official key world hold health pass short.
Happen particularly will street. Himself per activity article every plan.",Pronto-Socorro,Recepção A,Pediatria
Jeffery Harris,684-94-9018,1976-08-23,Perez-Navarro,Charles Garcia,82893,DC,A,4,Meses,03:57:20,19:14:16,A00,Sim,"Believe green board consider leave can. Too offer executive question old either day. Discover north show.
Star quickly market note town. Account civil list.",Clínica,Recepção C,Cardiologia
John Reed,377-02-4069,1908-10-22,West LLC,Zachary Gonzalez,26782,GU,A,3,Meses,09:25:27,18:43:04,C02,Sim,"Trial action ball. Present participant skin sound any beat. Lead run tend can laugh.
Everyone since care last figure piece whatever hot. Avoid contain their. Ahead those protect time southern hair.",Clínica,Recepção C,Ortopedia
Gregory Matthews,779-34-3494,1917-01-19,"Hester, Jackson and Hurst",Joshua Cole,29993,NY,C,10,Anos,20:54:26,18:38:51,A00,Sim,"Arrive many reason party story. Ability suddenly eye enjoy. Sport himself result actually.
Try operation couple respond popular. Yourself such world without.",Clínica,Recepção A,Cardiologia
Shane Smith,588-98-7054,2001-11-21,Brown-Schmidt,Shelley Bradford,73333,NY,A,28,Meses,13:40:50,09:04:09,C02,Não,Increase return half real just so threat. Just property rock subject population. Everything ever fact play house point result.,Clínica,Recepção A,Cardiologia
Jessica Sullivan,409-71-8082,1989-01-24,"Barnes, Reed and Dawson",Kimberly Burns,79991,NY,B,1,Anos,14:42:47,14:49:46,A00,Sim,Interest between party ask short difference between. Pull protect strategy natural present couple.,Pronto-Socorro,Recepção C,Ortopedia
Kristie Mills,338-57-3406,2004-05-28,Lewis LLC,Samuel Erickson,12439,SD,A,23,Meses,13:37:46,12:55:22,A00,Sim,"Door light easy personal whose resource. Situation tax question improve power beautiful street several.
Country message to suffer. Store sound trouble painting short laugh girl.",Clínica,Recepção A,Pediatria
Mathew Bowers,741-75-1396,1959-11-17,"Williams, Archer and Johnson",Jocelyn Barrera,63356,NY,A,21,Meses,03:41:22,07:20:57,C02,Sim,Attack military toward style wide bar. Court detail thank as away example.,Clínica,Recepção A,Cardiologia
Mark Horton,797-23-8127,1943-10-28,Clayton-Adams,Bradley Carter,32403,NM,B,24,Meses,21:45:42,03:51:56,A00,Não,"Already low time serve former reduce. News outside cultural bar cover.
Clearly purpose down adult. Body leg raise value adult only turn.",Pronto-Socorro,Recepção C,Ortopedia
Dr. Jason Chambers DDS,116-72-3360,1966-08-29,Ewing-Clark,Lisa King,97710,NJ,C,6,Meses,16:11:52,13:47:12,A00,Não,Stock picture break sometimes simple kind. Open character prepare similar his market. Nice to hospital worker subject hand consider son. Draw court life whom.,Hospital,Recepção A,Pediatria
Jacob Barnett,896-71-8181,1909-04-06,Hoffman LLC,John Tucker,15073,VT,A,25,Meses,03:10:50,13:53:41,A00,Sim,"Economy poor expect sort difference. Piece pay late address. May how almost size.
Despite phone him floor writer argue health pretty. Real drug certainly since deal. Majority game exactly us letter.",Clínica,Recepção B,Pediatria
Roy Nichols,555-33-5007,1976-10-30,Lindsey-Mccoy,Sara Meza,12634,DE,A,10,Dias,16:55:49,18:48:59,B01,Sim,"Pull land enough away. Man wish pull part per southern.
Administration positive do own face ball commercial. Rule quality hair other forward.
Air end opportunity. Enough bit everybody for expert.",Hospital,Recepção B,Cardiologia
Caitlin Soto,028-36-0067,1939-09-18,"Graham, Marquez and Brooks",Susan Mcdonald,43913,MP,C,15,Meses,11:06:46,23:46:14,C02,Não,"Knowledge national cover difference measure weight development. Scene him something.
Discuss each drug in feeling and. Between billion rich believe always.",Hospital,Recepção A,Pediatria
Leslie Green,097-30-1001,1920-11-07,"Munoz, Martinez and Martinez",John Stewart,43175,PW,B,8,Dias,05:57:20,16:38:55,A00,Não,Computer voice heart most. History question edge necessary hot follow.,Clínica,Recepção A,Pediatria
David Brooks,499-34-9869,1960-09-30,Gardner-Williams,Diane Garcia,67136,TX,A,11,Anos,02:32:27,07:39:21,C02,Sim,Knowledge season ball through shake themselves strong. Game own into three begin important five. Theory our build floor while. Try find less drive attack her.,Hospital,Recepção B,Cardiologia
Benjamin Warner,183-75-2392,1971-06-25,Arnold-Hill,Johnny Mccarthy,88469,IL,B,16,Anos,06:49:39,19:58:39,B01,Não,Far approach son list energy natural much. Entire heavy pressure parent enough.,Clínica,Recepção C,Ortopedia
Jack Lopez,421-36-5938,1948-09-03,"Gibson, Carter and Moore",Kayla Davis,46363,MT,A,10,Anos,12:08:05,21:48:41,C02,Não,Network while different beautiful meet. Individual visit shoulder way data.,Hospital,Recepção B,Cardiologia
Roger Jackson,232-05-7291,1913-08-06,"Graham, Allison and Beasley",Harold Roberts,38643,NC,A,16,Meses,12:22:40,23:46:59,C02,Não,"Within scientist role when table. Those bit condition century. Be kind mind approach glass foot.
True capital prove might movement garden. Fund reveal PM modern.",Hospital,Recepção B,Pediatria
Phillip Lee,128-70-4599,2019-04-22,"Johnson, Thomas and Harper",Jacob Morgan MD,87717,OK,C,14,Meses,02:18:36,05:31:39,B01,Sim,"Face Republican own player collection. Skill really their tell value.
Together two director than live. Development student us suffer whatever school.",Hospital,Recepção B,Cardiologia
Patrick Medina,510-15-8203,2011-03-28,Fernandez and Sons,Jessica Jackson,61276,CT,A,30,Dias,05:11:34,09:59:19,B01,Não,"Purpose top sea. Whether deal because wife somebody parent.
Wall or test as guy.
If her read heavy face pay building. Play check program whatever. Impact name cost positive program question.",Clínica,Recepção C,Cardiologia
Robert Hill,161-32-8899,1969-10-20,Jensen LLC,Amy Nelson,24599,MA,A,24,Meses,20:02:04,19:09:31,C02,Não,"Western right cold development hot how stock.
Popular standard Congress reflect.
Country unit five body matter. Power leader throughout help will force.",Pronto-Socorro,Recepção A,Pediatria
Karen Dean,234-06-8176,1952-01-05,Leblanc-Velasquez,Heather Saunders,80933,MN,C,17,Meses,06:18:52,19:54:34,A00,Não,Traditional well industry itself hot. Meeting quickly page treatment public enter. Stuff job own rule increase always personal.,Hospital,Recepção A,Pediatria
Michael Calderon,593-77-2909,1959-08-15,Robbins-Nicholson,Andrea Kelly,51238,GU,A,11,Anos,01:14:18,21:59:11,C02,Sim,Wall three forget us east power. Walk need quickly minute cause describe position. Up benefit short church reach buy.,Clínica,Recepção C,Cardiologia
Lisa Montoya,372-51-3209,1947-06-28,Miller-Castillo,Megan Dennis,95929,ME,B,17,Anos,11:41:51,14:36:20,C02,Sim,"Citizen movie decide beat glass level something bank. Position teach discuss candidate side avoid.
Significant outside national girl.",Clínica,Recepção A,Pediatria
Thomas Robbins,246-57-5071,1931-03-02,"George, Nelson and Taylor",Melanie Keller,87472,AL,C,30,Meses,11:19:48,02:50:14,A00,Sim,"Article group fire watch bar catch.
Them either factor explain figure.
Rest more board several first dog. Since remember treat ago work majority. News loss there foreign draw open.",Pronto-Socorro,Recepção A,Ortopedia
Christina White,119-71-4443,1933-01-10,"Shelton, Ward and Grant",April Ferguson,71761,ME,C,16,Anos,10:32:21,01:55:47,A00,Sim,Race writer field respond strong of. Some feel easy cold. Reality pressure finish participant defense full article.,Clínica,Recepção C,Pediatria
Jeffery Lopez,704-44-1343,1924-02-14,"Saunders, Alexander and Dixon",Heather Miller,55588,NV,C,5,Meses,16:56:15,18:46:29,B01,Não,"Effort onto process conference throughout.
Product consider grow west once instead manager staff. Notice environmental black name eye produce. Race still hard drive ahead never artist art.",Pronto-Socorro,Recepção C,Cardiologia
Kevin Weaver,089-14-4854,1992-02-28,Best Group,Adam Gibson,82045,NH,C,30,Dias,03:29:48,07:14:41,A00,Sim,Between especially kind guess leader agent. Machine parent rock box deep. Trip during research region. Society discuss relationship try.,Pronto-Socorro,Recepção B,Ortopedia
Anna Marquez,227-09-3573,1922-11-29,Mitchell LLC,Randy Walters,35613,NJ,A,5,Meses,23:51:51,11:40:38,A00,Sim,Discussion necessary fill ok key detail surface. Feel Republican drop conference nothing brother.,Pronto-Socorro,Recepção A,Ortopedia
Terry Martinez,366-87-5787,1918-10-21,Jones and Sons,Jeffrey Jones,63639,ND,C,28,Dias,13:48:01,09:11:29,C02,Não,Test performance let feel. Subject daughter alone or evidence suggest could. Per dinner tonight figure person play. Person by certain west style imagine.,Hospital,Recepção C,Cardiologia
Scott Dorsey,374-92-8800,1994-05-07,Brock Inc,Collin Smith,64865,KS,A,30,Meses,20:32:48,22:24:27,B01,Sim,"Present us teacher old nature daughter turn argue. Scientist administration true.
Onto green mission image fund. In defense church a old admit body. Since goal hit issue friend make audience.",Hospital,Recepção C,Ortopedia
Michael Nelson,607-01-8389,1919-07-15,Hicks-Russell,Kyle Porter,48694,OR,C,19,Anos,08:48:24,04:18:26,A00,Sim,Or sport science environmental after onto trouble. Door wear focus there of cell win. Off coach production picture.,Pronto-Socorro,Recepção A,Cardiologia
Mrs. Ashley Smith,104-31-6751,1953-10-27,Hill Ltd,Christopher Kelly,14460,IN,A,24,Anos,04:30:47,13:46:36,A00,Não,Lead cultural possible commercial positive. Mrs actually all one price field. Red stage someone group.,Hospital,Recepção B,Pediatria
Thomas Mendez,543-75-0889,2016-10-17,Ellis-Patel,Catherine Hall,81170,OK,C,3,Dias,10:14:38,13:30:03,B01,Sim,"Street way money. Almost administration receive wind travel small trouble.
Smile social amount several customer PM. Production fly view work study fish nor land. Group measure cause field.",Pronto-Socorro,Recepção C,Pediatria
Robert Olson,146-48-3697,1928-06-15,Hughes-Cook,Shaun Smith,50611,MI,C,7,Meses,20:24:13,06:54:28,C02,Sim,"Skill front determine subject.
Culture foreign clearly. Serious then usually none too per.",Hospital,Recepção C,Pediatria
Adam Allison,373-60-0788,1941-08-19,"Thomas, Graham and Davidson",William Roberts Jr.,36693,PR,A,20,Anos,16:40:20,04:31:03,C02,Sim,"Activity outside network. Present when until watch special forward. Value join thought occur under.
Game break respond tell evidence clearly sell. Present quickly paper success.",Hospital,Recepção A,Ortopedia
Mariah Vaughn,225-40-8407,1935-08-11,Webster-Cruz,Michelle Copeland,37961,MN,B,20,Meses,17:01:39,21:12:09,C02,Sim,Guy billion page dream street natural your. Economy enjoy hospital particularly teach never along. Meet child onto stand hundred share.,Hospital,Recepção A,Pediatria
Tara Jones,566-35-9195,1914-08-19,Taylor-Blake,Shirley Cook,93257,MD,B,11,Meses,16:48:18,22:05:51,C02,Não,"Long do safe along professor example eat country. Water night face describe. Conference morning owner describe ball.
Enough blue this marriage break vote. Exist other year up force owner walk.",Pronto-Socorro,Recepção A,Ortopedia
Jill Bruce,372-25-4752,1922-05-19,"Lee, Lara and Martin",Jacob Turner,79194,PR,C,11,Meses,09:03:35,08:18:45,B01,Sim,"Experience sing person trial area these. Water day section piece let.
Tough kitchen among first director guess paper. Them argue of certain everything up.",Clínica,Recepção C,Pediatria
Rebecca Williams,419-34-9233,1909-10-25,"Rivas, Burnett and Velazquez",David Dickerson,35276,SD,B,20,Meses,11:58:26,23:01:52,A00,Sim,"Better gun continue at through. Executive black parent animal interview.
Improve or few view eight senior. Activity past where southern ground issue benefit growth.",Hospital,Recepção C,Pediatria
Anthony Castaneda,120-02-0818,1915-11-12,"Elliott, Young and Schmidt",Phillip Spears,81632,MH,C,24,Dias,07:48:19,05:03:57,B01,Não,"Call movement art stock. Kitchen how firm tell have.
Receive force such want get no. True so investment science lead hard pass.",Pronto-Socorro,Recepção B,Ortopedia
Nicholas Wilson,390-19-2271,1908-08-17,Farrell-Navarro,Melinda Brooks,40702,VT,A,13,Anos,03:25:56,08:25:56,A00,Não,"Language although service recognize.
Road poor part black week mean. Join prevent option. Floor area scientist teacher only mention.",Clínica,Recepção B,Pediatria
Laura Dawson,365-10-3064,1950-01-26,Robinson PLC,Linda Ball,26935,NJ,A,13,Meses,19:37:05,15:00:34,C02,Sim,"Owner order after from region. Wait involve true it pay always training. Fear poor shoulder indeed.
Shake point move change than send part culture. Strong at choose.",Hospital,Recepção A,Pediatria
Mrs. Summer Macdonald,852-85-4922,1984-03-28,Rollins Ltd,Kenneth Johnson,69114,UT,A,25,Meses,02:26:50,23:32:28,A00,Não,"General practice agency know produce. System every nation. Believe customer black. Cut partner they level author drop scientist.
Two learn effect all it. Population evidence professional detail.",Pronto-Socorro,Recepção A,Ortopedia
Tony Strickland,406-94-4702,1976-07-18,Schultz-Baker,Carrie Booker,49844,PR,A,4,Anos,13:13:22,07:36:28,A00,Sim,"Everybody even look doctor much popular. Local near defense for.
Much add soldier. Spring field across according home sort girl.",Hospital,Recepção B,Ortopedia
Julie Buck,682-48-0100,1931-05-09,"Marshall, Martin and Bishop",Julie Johnson,57996,CA,A,27,Meses,08:41:16,11:57:52,A00,Sim,"Image cause your we apply. Memory without wind cultural try situation watch.
Feel Congress third ask people size. Affect tend air.",Pronto-Socorro,Recepção C,Ortopedia
Mark Kennedy,210-70-2383,1926-10-21,Jones PLC,Marvin Barnes,83401,RI,A,19,Meses,17:59:41,15:58:34,C02,Sim,"Personal our Congress fact indeed discuss hit. Expect everybody move. Popular now board rise.
Large grow type short. Suddenly magazine expect. Debate nation none rest outside the.",Pronto-Socorro,Recepção B,Cardiologia
Victoria Johnson,678-03-2567,1936-03-03,Perez Ltd,Michael French,17402,KY,C,26,Anos,18:22:47,20:47:34,A00,Não,Action prevent cultural mind political behind. Total do face too president from road. Certain animal nothing people minute movement agency. Few look so mother leave another teacher.,Hospital,Recepção A,Pediatria
Laura Brown,485-29-5088,1932-10-06,"Fisher, Hernandez and Mccoy",Brendan Shah,46789,MN,C,6,Anos,10:39:55,11:23:45,C02,Não,Land night reveal president wish character. Table book knowledge check improve rich.,Hospital,Recepção A,Ortopedia
Victor Gregory,575-59-4689,1959-07-24,Keith-Taylor,Julia Ryan,49391,WV,C,26,Dias,14:14:22,09:26:03,A00,Não,Yourself prevent stay. Trade minute evidence born hospital themselves likely policy.,Clínica,Recepção A,Ortopedia
Kevin Jones,696-31-0452,1986-05-01,"Avila, Garcia and Banks",Matthew Stout,93974,FL,B,6,Anos,16:21:58,11:23:32,A00,Sim,"Friend meet education put raise adult. Consumer treat above animal country value.
Until green act administration edge. Town compare whom increase manage. Yes me company.",Clínica,Recepção A,Cardiologia
Madeline Smith,077-05-2352,1939-12-27,"Velasquez, Pena and Rosales",Patricia Pearson,26706,TN,B,2,Meses,07:18:38,03:48:29,C02,Não,Sort fly risk program challenge voice. Suggest street win likely raise middle.,Pronto-Socorro,Recepção A,Ortopedia
