SequentialId,Status,StorageDate,CloseDate,Team,Closed,Tags,QueueTime,FirstResponseTime,AverageResponseTime,CustomerName,AgentName,AgentEmail,Tipo,Empresa,Apolice,Plano,QUESTÃO 1,QUESTÃO 2
46fb86c6-cd9b-4616-bc53-35611b748f61,Closed,1992-09-16,2000-12-16,Armstrong-Gonzalez,No,"['inside', 'computer', 'beyond', 'eat', 'always']",37,24,6.091153685214602,Tina Jones,Daniel Kent,michael64@example.org,Type2,"Green, Pham and Burns",4955549407,Platinum,Account two either behind close scientist data.,Learn wait among visit.
d942c1d1-2e24-43ed-81ab-a6f397a075f7,Closed,1972-03-12,2015-06-27,Montgomery-Neal,No,['generation'],17,12,3.458796467767127,Mark Trevino,Malik Cervantes,nlewis@example.com,Type2,Pitts Group,49854054144,Silver,Population foot to player region.,Allow artist we blood himself.
d27545cd-cf60-4044-8fd8-94578fdf4f9e,Closed,1983-10-28,2014-06-11,"Castillo, Jenkins and Case",Yes,"['thank', 'better', 'outside']",22,29,3.3851357777945448,Ronald Rodriguez,Jessica Lyons,dylan20@example.com,Type1,Wagner Ltd,71079412848,Platinum,Fine into will oil down road treat.,Recognize wife investment police close perhaps.
31d488a7-a3de-4457-97f0-1635c9ecb304,Closed,1998-11-17,2002-12-11,Terrell and Sons,No,"['democratic', 'school', 'forward', 'win']",14,28,4.073601688509829,Karen Williamson,Heather Green,diane32@example.com,Type2,Mcdonald-Lopez,98564081824,Platinum,Site international religious window vote next city.,Rather crime go practice main six fine.
dc0857bf-39e1-494a-b6ac-b33de150b099,Closed,1954-11-01,1964-02-09,Reyes and Sons,Yes,"['Mr', 'outside', 'activity']",60,22,4.504031146707747,Richard Sampson,Sarah Gonzalez,kleinrachel@example.com,Type1,"Jenkins, Summers and Morgan",12889194602,Platinum,Campaign within morning development.,Protect single weight hope arm.
3862e133-7cf8-4242-95da-ecba9294bf00,Open,1978-11-03,1990-01-29,Hamilton-Lee,Yes,['agent'],32,18,6.242146740553324,Lindsey Levy,John Guerra,ebaker@example.com,Type3,"Martinez, Lopez and Stevens",58596397559,Platinum,Leave any bring everyone for all because.,President little event debate chance serious attorney.
9f674d96-1677-4828-a7f1-8ac80afb905b,Pending,1988-10-16,1996-12-24,Franco LLC,No,['whatever'],37,26,9.465035619974433,Kirk Grant,Maria Ball,ashley00@example.net,Type2,Henry PLC,91251989518,Gold,Interview book common ten its.,Hotel choice reason what conference site.
f24802c8-6d1e-4ab2-853a-a397eb6e7f4e,Closed,2000-11-17,2019-01-19,"Jones, Perez and Reeves",No,"['color', 'message', 'bill', 'Republican']",31,7,3.621159092967971,Randall Reyes,Michele Rodriguez,daniel71@example.com,Type2,Banks LLC,76083502288,Silver,Thing large store area.,Thank above human recent must forward until.
2e46e48d-5999-47b1-bee4-fd2526f7def8,Open,1968-12-08,2007-10-11,"Jackson, Dean and Cooper",No,"['side', 'sometimes', 'their']",2,20,9.861796696069398,Brian Kennedy,Robert Perkins,shawnbell@example.org,Type2,"Adams, Shelton and Hansen",95070882684,Gold,Rock direction during the reflect explain every.,Lawyer fire stuff yourself.
54718071-d271-4ed0-b082-56de1ad2588a,Pending,1966-07-26,2013-03-23,Hancock LLC,Yes,"['their', 'discuss', 'to', 'spring']",59,14,3.6046819751557533,Rebecca Bennett,Charles Scott,jward@example.net,Type2,"Bell, Duke and Goodman",91230216660,Gold,Claim week economy show price area hit.,Live loss fish wide remain second free control.
